Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Automotive,1863,1922,1914,,1669,1802,,
,Decarbon,900,931,945,,907,884,,
,Materials,2860,3164,3194,,2737,3043,,
,Steel,2446,2864,2818,,2178,2639,,
,Marine,433,532,438,,568,533,,
,Revenue,8181,9064,8986,,7831,8579,8151,
,COGS,7383,7828,7828,,6866,7662,7214,
,Gross Margin,798,1236,1158,,965,917,937,
,R&D,55,62,62,,55,62,65,
,S&M,627,638,638,,564,618,601,
,G&A,397,413,413,,398,442,367,
,OpEx,1079,1113,1113,0,1017,1122,1033,
,OpInc,-281,123,45,0,-52,-205,-96,
,Interest Income,-17,-11,-11,,-20,8,-17,
,Pretax Income,-298,112,34,0,-72,-197,-113,
,Taxes,72,59,59,,53,101,202,
,Net Income,-370,53,-25,0,-125,-298,-315,
,EPS,-0.5943472045387642,0.08513622119068785,-0.04015859490126785,,-0.2007932135106525,-0.47869102100939553,-0.505998295755975,
,Shares,622.531741,622.531741,622.531741,,622.531,622.531,622.531741,
,,,,,,,,,
,CFFO,-424,113,249,,306,-312,48,
,CapEx,293,259,491,,440,278,259,
,FCF,-717,-146,-242,,-134,-590,-211,
,,,,,,,,,
,Gross Margin,0.09754308764209754,0.13636363636363635,0.12886712664144223,,0.12322819563274166,0.1068889147919338,0.11495522021837812,
,,,,,,,,,
,,,,,,,,,
,Employees,,97860,,,,93955,,
,,,,,,,,,
,Auto EBIT,,61,,,,,,
,Decarbon AEBIT,,42,,,,,,
,Materials EBIT,,45,,,,,,
,Steel EBIT,,31,,,,,,
,Marine EBIT,,23,,,,,,
,Auto Margin,,0.03173777315296566,,,,,,
,Decarbon Margin,,0.045112781954887216,,,,,,
,Materials Margin,,0.014222503160556258,,,,,,
,Steel Margin,,0.010824022346368716,,,,,,
,Marine Margin,,0.043233082706766915,,,,,,
,,,,,,,,,
,,,,,,,,,
,Intangibles,,,,,,1776,,
,PP&E,,,,,,4251,,
,Lease,,,,,,60,,
,ONFA,,,,,,613,,
,DTA,,,,,,654,,
,Inventories,,,,,,7347,,
,Contract Assets,,,,,,1146,,
,OCA,,,,,,1846,,
,AR,,,,,,4126,,
,Cash,,,,,,6410,,
,Held for sale,,,,,,6,,
,Total,,,,,,28235,,
,,,,,,,,,
,Equity,,,,,,9866,,
,Pensions,,,,,,5839,,
,Provisions,,,,,,1612,,
,Tax,,,,,,408,,
,Debt,,,,,,1595,,
,ONCL,,,,,,14,,
,AP,,,,,,4037,,
,Contract,,,,,,3335,,
,OCL,,,,,,1528,,
,L+SE,,,,,,28234,,
