Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,MAU,,,,,,137,142,150,149,156,161,171,170,,,
,,,,,,,,,,,,,,,,,
,Bookings,,,,,,33601,35281,37575,37651,39955,40973,44197,42818,46500,,
,  Mobility,,,,,,16728,17903,19285,18670,20554,21002,22798,21182,,,
,  Delivery,,,,,,15595,16094,17011,17699,18126,18663,20126,20377,,,
,  Freight,,,,,,1278,1284,1279,1282,1275,1308,1273,1259,,,
,Trips,,,,,,2282,2441,2601,2572,2765,2868,3068,3036,,,
,,,,,,,,,,,,,,,,,
,Take Rate,,,,,,0.27469420552959734,0.2633712196366316,0.2644311377245509,0.2690765185519641,0.2678012764359905,0.2730578673760769,0.27058397628798336,0.2693493390630109,0.27,,
,,,,,,,,,,,,,,,,,
,Mobility,,,,,,4894,5071,5537,5633,6134,6409,6911,6496,,,
,Delivery,,,,,,3057,2935,3119,3214,3293,3470,3773,3777,,,
,Freight,,,,,,1279,1286,1280,1284,1273,1309,1275,1260,,,
,,,,,,,,,,,,,,,,,
,Revenue,,,,,8823,9230,9292,9936,10131,10700,11188,11959,11533,12555,,
,COGS,,,,,5259,5515,5626,6057,6168,6488,6761,7234,6937,7533,,
,Gross Profit,,,,,3564,3715,3666,3879,3963,4212,4427,4725,4596,5022,,
,Operations & Support,,,,,640,664,683,702,685,682,687,678,668,682,,
,S&M,,,,,1262,808,941,935,917,1115,1096,1209,1057,1115,,
,R&D,,,,,775,491,797,784,790,760,774,785,815,815,,
,G&A,,,,,942,208,646,603,1209,686,630,1114,657,686,,
,Operating Expenses,,,,,3619,2171,3067,3024,3601,3243,3187,3786,3197,3298,,
,Operating Income,,,,,-55,1544,599,855,362,969,1240,939,1399,1724,,
,Interest Income,,,,,124,129,-218,1176,-802,284,1708,139,157,157,,
,Pretax Income,,,,,69,1673,381,2031,-440,1253,2948,1078,1556,1881,,
,Taxes,,,,,19,61,-39,133,24,62,159,215.60000000000002,0,376.20000000000005,,
,Net Income,,,,,50,1612,420,1898,-464,1191,2789,862.4,1556,1504.8,,
,EPS,,,,,0.024881105636714956,0.7752739549792836,0.19919572355238066,0.894469136337738,-0.22305890678060616,0.5539485930124339,1.2945203126900124,0.4027222981321792,0.7330570079025053,0.7089358518584126,,
,Shares,,,,,2009.557,2079.265,2108.479,2121.929,2080.168,2150.019,2154.466,2141.426,2122.618,2122.618,,
,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.14824889493369597,0.15926327193932832,0.20404649160568233,0.20360305958132052,0.13838712861514169,0.17336448598130838,-1,-1
,Bookings y/y,,,,,,,,,,,0.16133329554150966,0.17623419827012632,0.13723407080821226,0.16380928544612683,,
