Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
,Attendence,,,,,,,,8092,6797,22068,,59683,39075,59129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rev/Attendence,,,,,,,,20.08156203657934,21.818449315874652,20.151350371578758,,19.632056029355088,20.107485604606524,19.726361007289146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food/Attendence,,,,,,,,5.536332179930795,7.370898925996763,7.318288925140475,,6.375349764589582,6.461932181701855,6.70905985218759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,,,,,,,,102.4,137.2,374.8,,825.9,563.1,907.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Admissions,,,,,,,,,64.9,194.1,,464.3,310.8,501.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Exhibition Costs,,,,,,,,,20.2,84.2,,229.5,138.7,268.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Film GM%,,,,,,,,,0.6887519260400616,0.5662029881504379,,0.5057075166917941,0.5537323037323038,0.46388667198723066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International,,,,,,,,60.1,11.1,69.9,,348.9,222.6,258.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Admissions,,,,,,,,,4.6,38.9,,204,133,149.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Exhibition Costs,,,,,,,,,1.8,14.7,,81.3,51.1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Film GM%,,,,,,,,,0.6086956521739131,0.622107969151671,,0.6014705882352941,0.6157894736842106,0.5994659546061416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Box Office,2400.025631,3261.470276,2812.78759,2951.105203,1789.195274,4.771823,124.897443,193.945511,236.724645,811.047828,1175.53066,2067.228086,1333.445541,2322.682,1923.6,2951.105203,2400.025631,3261.470276,2531.508831,2655.9946827000003,,,,,,,10790.0,10922.051,10822.806,11125.825,11377.012,11073.883,11888.639,11320.801,2103.088,4488.914,8530.832744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pandemic Recovery,,,,,,,,,,,,,,0.712157954371619,0.6838767373827898,0.8,0.85,0.9,0.95,1,,,,,,,,,,,,,0.07357455374957445,-0.04776307868377527,-0.8142279861645831,1.1344394528426767,0.9004224059538677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMC Revenue/Domestic,,,,0.49056197607876334,0.5262142224952021,3.960750430181505,0.956784999993955,0.8378641978467859,0.6264662473144695,0.5483030527269965,0.6492387021194326,0.5667976397646524,0.5892254132934251,0.5021780855063243,0.503431066749844,0.55,0.55,0.55,0.55,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Admissions,,,,877,568,0.9,62.9,80.3,69.5,233,425.1,666.6,443.8,651,545.3,561.3,534.1,744.1,797.7,614.6,530.5,564.4,,,,,,,,,2049.4,3229.5,3385.0,3301.3,712.0999999999999,1394.2,2201.3999999999996,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food & Beverage,,,,438.3,288.1,0.4,29.1,44.8,50.1,161.5,265.2,380.5,252.5,396.7,333.3,331.2,328.7,488.2,482.7,370.2,321.2,367.1,,,,,,,,,1019.1,1548.4,1671.5,1719.6,362.40000000000003,857.3,1313.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Screen Advertising,,,,,,,,,16.9,19.7,,,28.9,32.3,,,,,,,,,,,,,,,,,,,,143.0,80.5,95.3,61.199999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other theatre,,,,132.4,85.4,17.6,27.5,37.4,11.8,30.5,72.9,124.6,60.5,86.4,89.8,98.4,91.6,115.6,125.5,119.6,99.7,99.1,,,,,,,,,167.4,301.34,404.3,307.1,87.4,181.1,335.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,1447.7,941.5,18.900000000000002,119.5,162.5,148.3,444.7,763.1999999999999,1171.6999999999998,785.6999999999999,1166.4,968.3999999999999,990.9,954.4,1347.9,1405.9,1104.3999999999999,951.4000000000001,1030.6,0,0,,,,,,,3235.9,5079.24,5460.8,5471.0,1242.4,2527.9,3911.399999999999,4812.6,5005.104,5205.3081600000005,5413.520486400001,5630.061305856001,5855.263758090241,6089.474308413851,6333.053280750405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Film,,,,434.5,271.7,0.2,26.6,24.2,22,98.9,176.5,310.3,189.8,328.7,263.2,270,246.2,383.1,398.5,263.3,239.3,272.3,,,,,,,,,1089.5,1604.3,1710.2,1699.1,322.7,607.7,1051.7,1291.1,1304.011,1317.0511099999999,1330.2216211,1343.523837311,1356.95907568411,1370.5286664409512,1384.2339531053606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food & Beverage,,,,73.6,53.4,4.5,8.8,22.1,9.7,26.3,42.9,59,42.6,64.6,58.5,62.9,61.4,91.7,90.1,72.4,63,69.9,,,,,,,,,142.2,252.1,270.9,278.7,88.80000000000001,137.9,228.6,315.6,318.75600000000003,321.94356000000005,325.16299560000004,328.41462555600003,331.69877181156005,335.0157595296757,338.36591712497244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expense,,,,427.4,356.9,114.8,192.1,192.2,179.7,246.2,321.5,394.4,344.8,402.2,400.6,380.8,383.2,412,449.8,446.5,393.8,389.5,,,,,,,,,873.5,1548.0,1654.7,1686.6,856.0,1141.8,1528.3999999999999,1691.5,1708.415,1725.4991499999999,1742.7541414999998,1760.1816829149998,1777.7834997441498,1795.5613347415913,1813.5169480890072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rent,,,,241.2,237.8,224.1,214.3,207.9,192.1,205.5,214.9,215.5,223.2,222.4,223.2,217.4,205.7,220.8,224.3,222.7,224.5,218.4,,,,,,,,,505.5,794.4,797.8,967.8,884.1,828.0,886.1999999999999,1019.1299999999999,1029.3212999999998,1039.6145129999998,1050.0106581299997,1060.5107647112998,1071.1158723584128,1081.827031081997,1092.645301392817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,26.1,33.2,25.4,32.7,65.4,51.8,54.4,47.5,72.9,53.1,67.5,40.6,46.4,72.3,58.1,63.1,57.1,57.7,49,,,,,,,,,90.7,133.2,179.3,153.0,156.70000000000002,226.6,207.6,250.6,253.106,255.63706,258.1934306,260.775364906,263.38311855506,266.0169497406106,268.6771192380167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TotalOpEx,,,,1202.8,953,369,474.5,511.79999999999995,455.3,631.3,803.3,1052.1000000000001,853.5000000000001,1085.4,986.1,977.5,968.8,1165.6999999999998,1225.8,1062,978.3000000000001,999.1,,,,,,,,,2701.3999999999996,4331.999999999999,4612.900000000001,4785.2,2308.2999999999997,2942.0,3902.4999999999995,4567.93,4613.609299999999,4659.745392999999,4706.34284693,4753.406275399299,4800.940338153293,4848.949741534826,4897.439238950174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,,,,244.9000000000001,-11.5,-350.1,-355,-349.29999999999995,-307,-186.59999999999997,-40.10000000000002,119.59999999999968,-67.80000000000018,81,-17.70000000000016,13.399999999999977,-14.399999999999977,182.20000000000027,180.10000000000014,42.399999999999864,-26.899999999999977,31.499999999999886,,,,,,,,,534.5000000000005,747.2400000000007,847.8999999999996,685.8000000000002,-1065.8999999999996,-414.0999999999999,8.899999999999636,244.67000000000007,391.4947000000011,545.5627670000013,707.1776394700009,876.6550304567018,1054.323419936948,1240.5245668790249,1435.6140418002315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IntExp,,,,-74.1,-71.3,-79.6,-82.8,-77.3,-151.5,-88.1,-88.7,-86.6,-82,-80.5,-91.89999999999999,-82,-90.7,-92,-93.4,-64.4,-91,-108.2,,,,,,,,,-110.7,-231.6,-262.3,-292.8,-311.0,-414.9,-336.4,-340.5,-6.6310999999999956,20.309352000000082,59.92040033000018,113.61726311600026,182.9363236660894,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax,,,,170.8000000000001,-82.8,-429.70000000000005,-437.8,-426.59999999999997,-458.5,-274.69999999999993,-128.8,32.99999999999969,-149.80000000000018,0.5,-109.60000000000015,-68.60000000000002,-105.09999999999998,90.20000000000027,86.70000000000013,-22.000000000000142,-117.89999999999998,-76.70000000000012,,,,,,,,,423.80000000000047,515.6400000000007,585.5999999999997,393.00000000000017,-1376.8999999999996,-828.9999999999999,-327.50000000000034,-95.82999999999993,384.8636000000011,565.8721190000014,767.0980398000011,990.272293572702,1237.2597436030376,1240.5245668790249,1435.6140418002315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,-33.4,-68.2,6.1,4.6,-6.8,-6.8,5.2,1.9,3.7,0.1,0,1.8,0,0,0,2.3,-1.2,0,0.7,,,,,,,,,-38.0,-13.6,-13.6,22.5,-64.3,4.0,1.9000000000000001,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,-372.15737006370745,-430.68421254006944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,137.4000000000001,-151,-423.6,-433.2,-433.4,-465.3,-269.49999999999994,-126.9,36.69999999999969,-149.7000000000002,0.5,-107.80000000000015,-68.60000000000002,-105.09999999999998,90.20000000000027,89.00000000000013,-23.20000000000014,-117.89999999999998,-76.00000000000011,,,,,,,,,385.80000000000047,502.04000000000065,571.9999999999997,415.50000000000017,-1441.1999999999996,-824.9999999999999,-325.60000000000036,-94.72999999999993,384.8636000000011,565.8721190000014,767.0980398000011,990.272293572702,1237.2597436030376,868.3671968153174,1004.929829260162,994.8805309675604,984.9317256578847,975.0824084013059,965.3315843172928,955.6782684741199,946.1214857893788,936.660270931485,927.2936682221701,918.0207315399484,908.840524224549,899.7521189823035,890.7545977924805,881.8470518145557,873.0285812964102,864.298295483446,855.6553125286116,847.0987594033255,838.6277718092922,830.2414940911992,821.9390791502873,813.7196883587844,805.5824914751965,797.5266665604446,789.5513998948402,781.6558858958917,773.8393270369328,766.1009337665635,758.4399244288978,750.8555251846088,743.3469699327627,735.9135002334351,728.5543652311007,721.2688215787897,714.0561333630018,706.9155720293718,699.8464163090781,692.8479521459873,685.9194726245274,679.0602778982822,672.2696751192993,665.5469783681064,658.8915085844253,652.302593498581,645.7795675635952,639.3217718879592,632.9285541690797,626.5992686273889,620.3332759411151,614.1299431817039,607.9886437498868,601.9087573123879,595.889669739264,589.9307730418714,584.0314653114526,578.1911506583381,572.4092391517547
,EPS,,,,1.3230621088107857,-1.448510719938606,-4.060621746757542,-4.022470866799758,-2.845568489957783,-1.1629272876776695,-0.5606045792761439,-0.2472093974636199,0.07142523509995581,-0.29016688957376324,0.0009674529479258776,-0.10428698850521353,-0.06287181207377084,-0.7649477783034315,0.5959814201801177,0.5473319106803528,-0.10612020858110027,-0.4475895084108104,-0.23633237038257893,,,,,,,,,3.9020147261105316,3.914664005115174,4.396449021943813,4.001656522074121,-12.303069364828003,-1.7295633743466965,-0.41247482997764756,-0.565578407359146,2.2977994504223394,3.3784973274882946,4.579901695750108,5.912346950815348,7.386967119989357,5.184521652884341,5.999858675611331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,103.85,104.245,104.319,107.695,152.307,400.111,480.731,513.33,513.824,515.91,516.821,1033.686,1091.109,137.395,151.347,162.607,218.62,263.411,321.581,,,,,,,,,98.872,128.246,130.105,103.832,117.14150000000001,476.999,789.3815,167.49225,167.49225,167.49225,167.49225,167.49225,167.49225,167.49225,167.49225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,-0.8877529874974097,-0.8424853956452469,22.529100529100525,5.386610878661087,6.210461538461537,4.2980445043830064,1.622891837193614,0.2688679245283019,-0.15430570965264134,0.21471299478172345,0.15560699588477367,0.45177612556794733,0.11454233525078195,-0.0031433361274098015,-0.23540321982342916,,,,,,,,,,0.5696529559009857,0.0751214748663187,0.0018678581892763724,-0.7729117163224273,1.0346909207984547,0.54729221883777,0.23040343610983305,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Film %,,,,0.30013124266077224,0.28858204992033987,0.010582010582010581,0.22259414225941423,0.1489230769230769,0.14834794335805798,0.22239712165504835,0.2312631027253669,0.2648288811129129,0.2415680285096093,0.2818072702331961,0.271788517141677,0.2724795640326976,0.2579631181894384,0.2842198976185177,,,,,,,,,,,,,0.33669149232052903,0.31585434041313265,0.3131775564019924,0.3105647961981356,0.259739214423696,0.24039716760947824,0.26888070767500133,0.26827494493620907,0.26053624460151076,0.2530207760072364,0.24572209977625842,0.2386339622827125,0.2317502902937881,0.22506518576608267,0.21857292079206103,,Terminal,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Film GM%,,,,0.5045610034207526,0.5216549295774648,0.7777777777777777,0.5771065182829889,0.6986301369863013,0.6834532374100719,0.5755364806866953,0.5848035756292638,0.5345034503450345,0.5723298783235692,0.49508448540706607,0.5173299101412067,0.5189738107963655,0.5390376334019847,0.48514984545088025,,,,,,,,,,,,,0.4683809895579194,0.5032357950147082,0.4947710487444608,0.48532396328718996,0.5468333099283808,0.5641227944340841,0.5222585627328062,,,,,,,,,,NPV,5065.6043555995375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpMargin,,,,0.16916488222698078,-0.012214551248008496,-18.523809523809522,-2.9707112970711296,-2.1495384615384614,-2.0701281186783547,-0.4196087249831346,-0.05254192872117404,0.10207390970384886,-0.0862924780450556,0.06944444444444443,-0.018277571251549114,0.013523059844585707,-0.015088013411567453,0.13517323243564083,,,,,,,,,,,,,0.1651781575450417,0.14711649774375707,0.15527029006738932,0.12535185523670264,-0.8579362524146809,-0.16381185964634673,0.0022754001124915984,0.05083946307609194,0.07821909394889719,0.1048089277772944,0.13063174716833392,0.15570967753847825,0.18006420607102203,0.20371620012666564,0.22668592512301194,,Share,33.108525199996976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Box y/y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009086663301608788,0.027998191966112973,0.022576932497140545,-0.026643990531081463,0.07357455374957445,-0.04776307868377527,-0.8142279861645831,1.1344394528426767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMC market share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18013517081637956,0.29163212217430867,0.28472561072802366,0.2916136411195639,0.33859733877041753,0.3105873714666844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quarter End Price,,,,7.2,3.16,4.29,4.71,2.12,10.21,56.68,38.06,27.2,24.64,13.55,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MC ($m),,,,747.72,329.41420000000005,447.52851000000004,507.24344999999994,322.89083999999997,4085.13331,27247.83308,19537.3398,13976.012799999999,12712.0224,7002.924550000001,7204.79142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV ($m),,,,,,,,,,,23349.9398,17783.712799999998,17045.2224,11393.224549999999,11824.29142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,-4617.299999999999,-3660.7999999999993,-3812.6000000000004,-3807.7,-4333.2,-4390.299999999999,-4619.5,0,-4363.3,-4357.400000000001,0,0,-3882.3,-3517.2,,,,,,,,,,,,,,,0.0,-94.72999999999993,290.13360000000114,856.0057190000025,1623.1037588000036,2613.3760523727055,3850.6357959757433,4719.002992791061,5723.932822051223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,842.1,1839.6000000000001,1640.2,1620.3,1188.6000000000001,987.9000000000001,705.8000000000001,,518.7,458.2,,,660.7,818.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,86,88.5,129.6,168.5,105.8,120.7,108.4,,105.7,137.8,,,140.4,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,87.9,84.2,93.1,81.5,110.1,102.8,91,,116.1,111.7,,,111.9,100.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
