Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002,2003.0,2004.0,,,,,,,,,,
,Revenue,74.0,113.0,185.0,283.0,1430.0,,,,,,,,,,,,,,
,Earnings,14.8,22.6,37.0,56.6,286.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,14.0,15.0,16.0,17.0,18,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
,,,,5000.0,25000.0,50000.0,100000.0,150000,225000.0,337500.0,506250.0,759375.0,1139062.5,1708593.75,2562890.625,3844335.9375,5766503.90625,8649755.859375,12974633.7890625,19461950.68359375
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RoR,0.5,,,,,,,,,,,
