Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Brand,"Journavx, fka VX-548",,
,Generic,suzetrigine,,
,Indication,Pain,,
,MOA,Nav1.8,,
,Dosing,Loading dose with q12h thereafter,,
,Safety,80k opioid deaths in the US in 2023,,
,Pricing,$500/month,,
,Clinical Trials,,,
,,Phase III DPN,,
,,"two Phase 3 trials, data in 2027",,
,,,,
,,Phase III bunionectomy or abdominoplasty n=2000,,
,,,,
,,,,
,,,,
,,Phase II n=274 dose-ranging bunionectomy,,
,,,SPID48 change from baseline,
,,Placebo,101,
,,100mg first dose/50mg q12h,137.8,p=0.0251
,,60mg first dose/30mg q12h,86.9,p=NS
,,20mg first dose/10mg q12h,112.9,p=NS
,,hydrocodone,115.6,p=NS
,,,,
,,,,
,,Phase II n=303 dose-ranging abdominoplasty,,
,,,SPID48 change from baseline,
,,Placebo,72.7,
,,100mg first dose/50mg q12h,110.5,p=0.0097
,,60mg first dose/30mg q12h,95.1,p=NS
,,hydrocodone,85.2,p=NS
,,,,
,,Phase III DPN - initiate in 2H24,,
,,,,
,,Phase II LSR (painful lumbosacral radiculopathy),,
,,,,
,,,,
,,Phase III moderate-to-severe acute pain,,
,,NPRS time-weighted sum 48 hours primary endpoint,,
,,"VX-548 vs. placebo: 48.4, p<0.0001 and 29.3 in study 2?, p=0.0002.",,
