Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0
,Royalties,,,,,,,58.563,,,,99.551,,,111.74,,,,124.918,,,,,,,99.551,,,,,,,
,Product,,,,,,,25.047,,,,61.427,,,,,,,,,,,,,,61.427,,,,,,,
,Collaboration,,,,,,,32.22,,,,47.998,,,,,,,,,,,,,,47.998,,,,,,,
,Revenue,,,,,,,115.83,,,,208.976,,,,,,,,,,,,,,208.976,,,,,,,
,COGS,,,,,,,18.589,,,,47.319,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,,,97.241,,,,161.65699999999998,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,,,8.486,,,,16.705,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,,,13.169,,,,34.467,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,,,21.655,,,,51.172,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,,,75.586,,,,110.48499999999999,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,,,-1.48,,,,-6.873,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,,,74.106,,,,103.61199999999998,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,0,,,,12.073,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,,74.106,,,,91.53899999999999,,,,,,,,,,,,,,,,,,,,,
,EPS,,,,,,,0.5051878110300634,,,,0.6567255195965189,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,146.69,,,,139.387,,,,,,,,,,,,,,,,,,,,,
