Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,Name,,,
x,1.0,Jiangsu Hengrui,600276 CH,,
,34.0,Zhangzhou Pientzehuang,600436 CH,,
x,23.0,Chongqing Zhifei,300122 CH,,
,24.0,Changchun High Tech,000661 CH,,
,25.0,Huadong Medicine,000963 CH,,
,43.0,Walvax Biotech,300142 CH,,
,44.0,Beijing Tongren,600085 CH,,
x,45.0,Yunnan Baiyao,000538 CH,,
,,Shanghai Pharma,601607 CH,,
,,Sichuan Kelun,002422 CH,27.98,5682.651622002821
,,Beijing Wantai,603392 CH,,
,,,,,
,,Zhejiang Nhu,002001 CH,,
