Main,Unnamed: 1,Unnamed: 2
,Brand Name,Menveo
,Regulatory,"3/18/10: Novartis receives approval in the European Union for Menveo®, first quadrivalent conjugate vaccine in the EU to help prevent meningococcal disease"
,Competition,None in Europe?
