Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Products,,,,,47387,50525,,,52522,56794,,,,,,,,,,,,,,
,Premiums,,,,,18960,18983,,,21631,21260,,,,,,,,,,,,,,
,Services,,,,,2453,2819,,,2505,2436,,,,,,,,,,,,,,
,Investment,,,,,297,289,,,168,146,,,,,,,,,,,,,,
,Revenue,,,,,69097,72616,,,76826,80636,,,,,,,,,,,,,,
,COPS,,,,,40894,43520,,,45509,49290,,,,,,,,,,,,,,
,Benefits,,,,,15704,15901,,,17951,17606,,,,,,,,,,,,,,
,General,,,,,8922,8869,,,9876,9171,,,,,,,,,,,,,,
,OpEx,,,,,65520,68290,,,73336,76067,,,,,,,,,,,,,,
,OpInc,,,,,3577,4326,,,3490,4569,,,,,,,,,,,,,,
,Interest,,,,,-607,-591,,,-544,-540,,,,,,,,,,,,,,
,Pretax,,,,,2970,3735,,,2946,4029,,,,,,,,,,,,,,
,Taxes,,,,,747,952,,,634,1078,,,,,,,,,,,,,,
,Net Income,,,,,2223,2783,,,2312,2951,,,,,,,,,,,,,,
,EPS,,,,,1.6815431164901664,2.097211755840241,,,1.7409638554216869,2.233913701741105,,,,,,,,,,,,,,
,Shares,,,,,1322,1327,,,1328,1321,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.11185724416400133,0.11044397928831118,,,,,,,,,,,,,,
,MLR,,,,,0.8282700421940928,0.837644207975557,,,0.8298737922426148,0.8281279397930386,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,-22343,-18699,,,,,,,,,,,,,,
,Cash,,,,,,,,,33937,36117,,,,,,,,,,,,,,
,AR,,,,,,,,,26451,27233,,,,,,,,,,,,,,
,Inventories,,,,,,,,,18160,17375,,,,,,,,,,,,,,
,OCA,,,,,,,,,5530,2541,,,,,,,,,,,,,,
,PP&E,,,,,,,,,12844,12764,,,,,,,,,,,,,,
,Lease,,,,,,,,,18801,18562,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,107603,106695,,,,,,,,,,,,,,
,Separate Accounts,,,,,,,,,4670,4140,,,,,,,,,,,,,,
,OA,,,,,,,,,4877,4852,,,,,,,,,,,,,,
,Assets,,,,,,,,,232873,230279,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,12738,13238,,,,,,,,,,,,,,
,Pharmacy Claims,,,,,,,,,18572,18393,,,,,,,,,,,,,,
,HC Costs,,,,,,,,,10260,10400,,,,,,,,,,,,,,
,Policyholders,,,,,,,,,4138,1628,,,,,,,,,,,,,,
,AE,,,,,,,,,16619,17728,,,,,,,,,,,,,,
,Other Insurance,,,,,,,,,7750,7484,,,,,,,,,,,,,,
,Other Lease,,,,,,,,,19635,19356,,,,,,,,,,,,,,
,Debt,,,,,,,,,56280,54816,,,,,,,,,,,,,,
,DT,,,,,,,,,5829,5450,,,,,,,,,,,,,,
,Separate Account,,,,,,,,,4670,4140,,,,,,,,,,,,,,
,OLTL,,,,,,,,,2242,2140,,,,,,,,,,,,,,
,S/E,,,,,,,,,74140,75506,,,,,,,,,,,,,,
,L+SE,,,,,,,,,232873,230279,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Receipts,,,,,,,,,74192,,,,,,,,,,,,,,,
,Inventory/Rx,,,,,,,,,-44365,,,,,,,,,,,,,,,
,Insurance Paid,,,,,,,,,-16616,,,,,,,,,,,,,,,
,Suppliers/Employees,,,,,,,,,-8969,,,,,,,,,,,,,,,
,Interest,,,,,,,,,-583,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,-96,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,3563,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,-904,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,-1051,,,,,,,,,,,,,,,
,Acquisitions,,,,,,,,,-7,,,,,,,,,,,,,,,
,Other,,,,,,,,,-31,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,-1993,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,-14,,,,,,,,,,,,,,,
,Buyback,,,,,,,,,-2000,,,,,,,,,,,,,,,
,Dividends,,,,,,,,,-722,,,,,,,,,,,,,,,
,ESOP,,,,,,,,,86,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,-2650,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,-1080,,,,,,,,,,,,,,,
