Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,2027-03-31 00:00:00
,,,FQ123,FQ223,FQ323,FQ423,FQ124,FQ224,FQ324,FQ424,FQ125,FQ225,FQ325,FQ425,FQ126,FQ226,FQ326,FQ426,,,,,,,,
,Revenue,,122.601,122.349,146.537,187.35700000000003,216.339,215.507,270.943,321.143,324.477,301.075,355.3,332.645,389.37239999999997,361.28999999999996,426.36,399.174,,,392.155,578.844,1023.932,1313.4969999999998,1576.1963999999998,1970.2454999999998
,COGS,,39.616,42.789,47.812,58.23100000000002,63.767,63.142,78.986,93.94100000000003,93.194,87.016,102.015,95.606,,,,,,,140.423,188.448,299.836,380.91413,457.0969560000001,571.371195
,Gross Profit,,82.985,79.56,98.72500000000001,129.126,152.572,152.365,191.957,227.20199999999994,231.28299999999996,214.05899999999997,253.28500000000003,237.039,,,,,,,251.73199999999997,390.3960000000001,724.096,932.5828699999998,1119.0994439999997,1398.8743049999998
,SG&A,,61.555,64.183,75.434,121.08099999999996,91.939,112.186,160.121,210.172,180.575,186.141,218.22,192.723,,,,,,,221.912,322.253,574.418,746.7434000000001,933.4292500000001,1073.4436375
,Operating Income,,21.43,15.376999999999995,23.29100000000001,8.045000000000044,60.63300000000001,40.179,31.835999999999984,17.029999999999944,50.70799999999997,27.917999999999978,35.065000000000026,44.315999999999974,,,,,,,29.819999999999965,68.14300000000009,149.678,185.83946999999978,185.67019399999958,325.4306674999998
,Other Income,,-2.326,-2.048,0.26699999999999996,0.21399999999999997,0.74,-0.43900000000000006,-1.42,-4.694,-3.478,3.791,-8.805,-0.266,,,,,,,-3.8789999999999996,-3.893,-5.813,-5.813,-5.813,-5.813
,Pretax Income,,19.104,13.328999999999995,23.55800000000001,8.259000000000045,61.37300000000001,39.74,30.415999999999983,12.335999999999945,47.22999999999997,31.70899999999998,26.260000000000026,44.049999999999976,,,,,,,25.940999999999967,64.25000000000009,143.865,180.0264699999998,179.8571939999996,319.6176674999998
,Taxes,,4.635,1.619,4.277,-7.987,6.676,6.469,3.528,-3.346000000000001,-0.325,8.928,9.019,15.784,,,,,,,3.661,2.544,13.327,18.00264699999998,26.978579099999937,63.92353349999996
