Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,,,Economics,Approved,,,,Price,30.46,
,Jemperli,,,GSK,,,,,Shares,27.996963,Q225
,,,,,Phase,,,,MC,852.78749298,
,rosnilimab,PD-1 agonist,"RA, UC",,,,,,Cash,293.706,Q225
,ANB032,BTLA agonist,AD,,,,,,Debt,0.0,Q225
,ANB033,"CD122 (IL-15, IL-2)",,,,,,,EV,559.08149298,
,ANB101,BDCA2,,,I,,,,,,
,imsidolimab,IL36R,,VNDA,,,,,PIC,821.121,Q324
,etokimab,IL-33,,,,,,,AD,737.543,Q324
,cobolimab,,,,,,,,,,
,,,,,,,,,Founded,2005.0,
