Unnamed: 0,Unnamed: 1,Unnamed: 2
,Brand Name,Avandryl
,Generic Name,Avandia (rosiglitazone) + Amaryl (glimepiride)
,Trials,75% had A1C <7% vs 49% for Amaryl and 46% for Avandia
,,2.4-2.5% a1c reduction vs 1.8% and 1.7% in baseline 9-9.2% patients
