Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,2023-04-30 00:00:00,2024-07-31 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-31 00:00:00,2024-10-31 00:00:00,2025-01-31 00:00:00,2025-04-30 00:00:00,2025-07-31 00:00:00,2025-10-31 00:00:00,,,,,,,,2022-01-31 00:00:00,2023-01-31 00:00:00,2024-01-31 00:00:00,2025-01-31,2026-01-31,2027-01-31,2028-01-31
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,,,,,,,
,,,,,,,,,3560,,,,,,,,,,,,,,,,,3560,,,,
,,,,,,,,,360,,,,,,,,,,,,,,,,,360,,,,
,,,,,,,,,695,,,,,,,,,,,,,,,,,695,,,,
,,,,,,,,,599,,,,,,,,,,,,,,,,,599,,,,
,US,,,,,,,,5214,,,,,,,,,,,,,,,,,5214,,,,
,International,,,,,,,,5402,,,,,,,,,,,,,,,,,5402,,,,
,Stores,,,,,,,,10616,,,,,,,,,,,,,,,,,10616,,,,
,Distribution Facilities,,,,,,,,368,,,,,,,,,,,,,,,,,368,,,,
,SSS,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.049,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,,,,,151004,160280,159439,171914,159938,167767,168003,178830,163981,175750,,,,,,,,,567762,605881,642637,,,,
,Membership,,,,,1297,1352,1365,1474,1570,1568,1585,1724,1628,1652,,,,,,,,,4992,5408,5488,,,,
,Revenue,,,,,152301,161632,160804,173388,161508,169335,169588,180554,165609,177402,0,0,0,0,0,0,,,572754,611289,648125,,,,
,COGS,,,,,115284,121850,121183,131825,121431,126810,127340,136172,124303,132771,,,,,,,,,429000,463721,490142,,,,
,Gross Profit,,,,,37017,39782,39621,41563,40077,42525,42248,44382,41306,44631,,,,,,,,,143754,147568,157983,,,,
,SG&A,,,,,30777,32466,33419,34309,33236,34585,35540,36523,34171,37345,,,,,,,,,117812,127140,130971,,,,
,Operating Income,,,,,6240,7316,6202,7254,6841,7940,6708,7859,7135,7286,,,,,,,,,25942,20428,27012,,,,
,Interest Income,,,,,-3552,3411,-537,-4486,194,-1727,-610,-602,-544,-675,,,,,,,,,-4836,-3412,-5164,,,,
,Pretax Income,,,,,2688,10727,5665,2768,7035,6213,6098,7257,6591,6611,,,,,,,,,21106,17016,21848,,,,
,Taxes,,,,,1015,2836,272,2214,1931,1712,1384,1538,1355,2168,,,,,,,,,5023,5336,6337,,,,
,Net Income,,,,,1673,7891,5393,554,5104,4501,4714,5719,5236,4443,,,,,,,,,16083,11680,15511,,,,
,EPS,,,,,0.20623767258382644,0.9732363098174642,0.6649815043156597,0.06832757770103601,0.6313706086095993,0.5569855215938622,0.5832714674585499,0.7079722703639515,0.6503539932927587,0.5542664670658682,,,,,,,,,1.911229946524064,1.4240429163618629,1.9130488406512087,,,,
,Shares,,,,,8112,8108,8110,8108,8084,8081,8082,8078,8051,8016,,,,,,,,,8415,8202,8108,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.06045265625307783,0.04765764205107903,0.05462550682818845,0.041329273075414674,0.025391931049855154,0.047639294888829786,,,,,,,,,,0.06728019359096571,0.0602595499019285,,,,
,Gross Margin,,,,,0.24305158863040952,0.24612700455355374,0.24639312454914056,0.2397109373197684,0.24814250687272457,0.2511294180175392,0.2491214000990636,0.24581011774870676,0.24941881177955305,0.25158115466567454,,,,,,,,,0.25098733487675334,0.24140463839525986,0.24375390549662487,,,,
,Operating Margin,,,,,0.040971497232454156,0.04526331419520887,0.03856869232108654,0.04183680531524673,0.04235703494563737,0.04688930227064694,0.039554685473028754,0.04352714423385801,0.04308340730274321,0.04107056290233481,,,,,,,,,0.045293441861602016,0.03341790871420883,0.0416771456123433,,,,
,Tax Rate,,,,,0.3776041666666667,0.26437960287125944,0.048014121800529566,0.7998554913294798,0.27448471926083867,0.2755512634798004,0.22695965890455888,0.2119333057737357,0.20558337126384463,0.3279382846770534,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,-30590,-33845,-31243,-30421,-30030,-36889,-34057,,,,,,,,,,,-30590,,,,
,Cash,,,,,,,,9867,9405,8811,10049,9037,9311,9431,,,,,,,,,,,9867,,,,
,Receivables,,,,,,,,8796,9075,8650,10039,9975,9686,10518,,,,,,,,,,,8796,,,,
,Inventories,,,,,,,,54892,55382,55611,63302,56435,57467,57729,,,,,,,,,,,54892,,,,
,Prepaids,,,,,,,,3322,3290,3438,3548,4011,3789,4355,,,,,,,,,,,3322,,,,
,PP&E,,,,,,,,110810,111498,113818,116598,119993,121261,125476,,,,,,,,,,,110810,,,,
,Lease,,,,,,,,19528,19847,19920,19928,19711,19623,20081,,,,,,,,,,,19528,,,,
,Goodwill,,,,,,,,28113,27999,27930,27942,28792,28866,29060,,,,,,,,,,,28113,,,,
,OLTA,,,,,,,,17071,17558,16262,11993,12869,12369,14187,,,,,,,,,,,17071,,,,
,Assets,,,,,,,,252399,254054,254440,263399,260823,262372,270837,,,,,,,,,,,252399,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,40457,43250,40054,40470,39067,46200,43488,,,,,,,,,,,40457,,,,
,AP,,,,,,,,56812,56071,56716,62863,58666,57700,60086,,,,,,,,,,,56812,,,,
,Dividends,,,,,,,,0,5013,3343,1674,0,5660,3783,,,,,,,,,,,0,,,,
,Liabilities,,,,,,,,28759,24092,27656,28117,29345,26085,28821,,,,,,,,,,,28759,,,,
,Taxes,,,,,,,,14936,16125,14648,14531,15006,15074,16276,,,,,,,,,,,14936,,,,
,Leases,,,,,,,,20864,21213,21251,21279,21047,21005,21526,,,,,,,,,,,20864,,,,
,S/E,,,,,,,,90571,88290,90772,94465,97692,90648,96857,,,,,,,,,,,90571,,,,
,L+S/E,,,,,,,,252399,254054,254440,263399,260823,262372,270837,,,,,,,,,,,252399,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,1673,7891,5393,554,5104,4501,4714,5719,5236,4443,,,,,,,,,,,15511,,,,
,Reported NI,,,,,,,,16270,,,,,,,,,,,,,,,,,16270,,,,
,D&A,,,,,,,,11853,,,,,,,,,,,,,,,,,11853,,,,
,Unrealized,,,,,,,,3193,,,,,,,,,,,,,,,,,3193,,,,
,DT,,,,,,,,-175,,,,,,,,,,,,,,,,,-175,,,,
,Other,,,,,,,,2642,,,,,,,,,,,,,,,,,2642,,,,
,WC,,,,,,,,1943,,,,,,,,,,,,,,,,,1943,,,,
,CFFO,,,,,,,,35726,,,,,,,,,,,,,,,24181,28841,35726,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,-20356,,,,,,,,,,,,,,,-13106,-16857,-20356,,,,
,Acquisitions,,,,,,,,126,,,,,,,,,,,,,,,,,126,,,,
,Other,,,,,,,,-1057,,,,,,,,,,,,,,,,,-1057,,,,
,CFFI,,,,,,,,-21287,,,,,,,,,,,,,,,,,-21287,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,1262,,,,,,,,,,,,,,,,,1262,,,,
,Dividends,,,,,,,,-6140,,,,,,,,,,,,,,,,,-6140,,,,
,Buyback,,,,,,,,-2779,,,,,,,,,,,,,,,,,-2779,,,,
,NCI,,,,,,,,-3509,,,,,,,,,,,,,,,,,-3509,,,,
,Other,,,,,,,,-2248,,,,,,,,,,,,,,,,,-2248,,,,
,CFFF,,,,,,,,-13414,,,,,,,,,,,,,,,,,-13414,,,,
,FX,,,,,,,,69,,,,,,,,,,,,,,,,,69,,,,
,CIC,,,,,,,,1094,,,,,,,,,,,,,,,,,1094,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,15370,,,,,,,,,,,,,,,11075,11984,15370,,,,
