Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,REALITY,REALITY+FEAR,
,Cash,,,,,,,,4283,4283,4283,
,Debt AFS,,,,,,,,3347,3347,3347,
,Debt HTM,,,,,,,,28348,22678.4,18142.72,
,Equities,,,,,,,,24,24,24,
,Loans,,,,,,,,166084,166084,132867.2,
,Life Insurance,,,,,,,,3435,3435,1717.5,
,Tax Credits,,,,,,,,1383,1383,691.5,
,PP&E,,,,,,,,483,,,
,Goodwill,,,,,,,,218,,,
,Other,,,,,,,,5034,5034,2517,
,Assets,,,,,,,,212639,206268.4,163589.92,
,,,,,,,,,,,,
,Noninterest-bearing,,,,,,,,62579,,,
,Checking,,,,,,,,41178,,,
,Money Market,,,,,,,,47468,,,
,COD,,,,,,,,25212,,,
,Deposits,,,,,,,,176437,,,17643.7
,Debt,,,,,,,,15279,,,
,Other,,,,,,,,3477,,,
,Liabilities,,,,,,,,195193,195193,195193,
,Book Value,,,,,,,,17446,11075.399999999994,-31603.079999999987,
