Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Class,Rights,Approved,Admin,IP,,Price,23.55,
,Comirnaty,COVID-19,mRNA vaccine,BNTX,,SC,MRNA dispute,,Shares,5710.0,Q125
,Ibrance (palbociclib),Breast Cancer,CDK4/6,1,,Oral,,,MC,134470.5,
,Prevnar,Pneumococcal Vaccine,Vaccine,WYE,2000-02-17 00:00:00,IM,Vaccine,,Cash,19330.0,Q125
,Prevnar 13,Pneumococcal Vaccine,Vaccine,1,2010-02-24 00:00:00,IM,Vaccine,,Debt,62109.0,Q125
,Paxlovid (nirmatrelvir),COVID-19,Antiviral,1,,Oral,,,EV,177249.5,
,Vyndaqel (tafamidis meglumine),"Transthyretin Cardiomyopathy, FAP",TTR Inhibitor,1,,Oral,,,,,
,Eliquis (apixaban),"DVT, PE, Afib",Factor Xa,BMY,2012-12-28 00:00:00,Oral,,,CEO: Albert Bourla,,
,Enbrel (etanercept),Rheumatoid Arthritis,Anti-TNF,AMGN,1998-11-02 00:00:00,SC,,,"CFO: David Denton replaced Frank D'Amelio, who retired.",,
,Xeljanz (tofacitinib),Rheumatoid Arthritis,JAK3,1,2012-11-06 00:00:00,Oral,,,Supply Chain: Mike McDermott,,
,Inlyta (axitinib),"NSCLC, Thyroid, BC",VEGF,1,2012-01-27 00:00:00,Oral,,,"CDO, Oncology: Johanna Bendell replacing Roger Dansey",,
,Xalkori (crizotinib),NSCLC,ALK,1,2011-08-26 00:00:00,Oral,"2025, 2029 NCE",,"CSO, President R&D: Chris Boshoff",,
,Sutent (sunitinib),"GIST, RCC",TK,1,2006-01-26 00:00:00,Oral,LOE,,CCO: Aamir Malik,,
,Geotropin (somatropin),Growth Deficiency,rDNA,1,1998-01-27 00:00:00,SC?,Biologic,,,,
,BeneFIX (nonacog alfa),Hemophilia,Factor IX,1,1997-02-11 00:00:00,IV,Biologic,,,,
,Xyntha/Refacto,Hemophilia,Factor VIII,DYAX?,,IV,Biologic,,,,
,Zyvox (linezolid),Anti-infective,Oxazolidinone,1,2000-04-18 00:00:00,All,,,,,
,Chantix (varenicline),Smoking Cessation,Nicotinic,1,2006-05-10 00:00:00,Oral,"5/10/2020, 8/19/2022, p4 filed 7/2010",,,,
,Vfend (voriconazole),Infections,Antifungal,1,2002-05-04 00:00:00,All,,,,,
,Toviaz (fesoterodine),OAB,Muscarinic,UCB,2008,Oral,,,,,
,Besponsa (inotuzumab ozogamicin),ALL,CD22 ADC,1,,,,,,,
,"Myfembree (relugolix, estradiol, norethindrone)","Endometriosis, UF",GNRH?,MYOV,,Oral,,,,,
,Trazimera (PF-05280014),Breast Cancer,HER2,1,,IV,,,,,
,TicoVac,TBE,Vaccine,1,,,,,,,
,Nurtec/Vydura (rimegepant),Migraine,CGRP,1,4/2022 EC,Oral,,,,,
,Ngenla (somatrogon),Growth Deficiency,rHGH,OPK,,qw SC,,,,,
,Lorbrena/Lorviqua (lorlatinib),Cancer,ALK,1,,Oral,,,,,
,Trumenba (PF-05212366/MnB rLP2086),Meningitis,Vaccine,1,,,,,Biohaven: 11.6B,,
,"Daurismo (glasdegib), PF-04449913",AML,Hedgehog,1,,,,,Arena: 6.2B completed 3/11/22,,
,Zirabev (PF-06439535),Cancer,Biosimilar Avastin,1,,,,,Trillium: 2.0B completed 11/17/21,,
,Premarin (estrogen),Hot Flashes,HRT,1,1984,Oral,Biologic,,ReViral,,
,Talzenna (talazoparib),CRPC,PARP,1,,,,,,,
,Cibinqo (abrocitinib) fka PF-04965842,,,1,2002-01-14 00:00:00,Oral,,,,,
,Elrexfio (elranatamab),Multiple Myeloma,BCMA/CD3,100%?,,,,,,,
,Abrysvo (PF-06928316),RSV (older adults),Vaccine,1,,,,,,,
,Pristiq (desvenlafaxine),Depression,SNRI,1,2008-02-29 00:00:00,Oral,,,Amplyx,,
,,,,,Phase,,,,Haleon (HLN) - 32% ownership,,
,,COVID-19,bivalent mRNA vaccine,BNTX,,,,,"Priovant (brepocitinib, ropsacitinib)",,
,,COVID-19,enhanced mRNA vaccine,BNTX,,,,,,,
,,Influenza,modRNA vaccine,BNTX?,,,,,,,
,PF-07976016,,GIPR antagonist,,II,,,,International FY ends 11/30,,
,,,anti-IFN-beta,1,,,,,,,
,sasanlimab (PF-06801591),nmiBC,PD-1 mab (subcut),100%?,"III ""CREST"" met PE for hrnmiBC",,,,,,
,atirmociclib,mBC,CDK4/6,1,,Oral,,,,,
,"Abrilada (adalimumab, PF-06410293)",Rheumatoid Arthritis,TNFalpha,1,Q422 PDUFA,SC,,,Meridian divested ($300m annual revenue) 12/31/21,,
,etrasimod,"Ulcerative Colitis, AA, Crohn's, AD, EE",S1P,100%?,Filing,Oral,,,,,
,TTI-622,DLBCL,CD47/SIRPalpha,100%?,,,,,,,
,fordadistrogene movaparvovec,DMD,AAV,1,III,,,,,,
,giroctocogene fitelparvovec,Hemophilia A,AAV,SGMO,RETURNED TO SGMO,,,,,,
,fidanacogene elaparvovec,Hemophilia B,,,,,,,Manufacturing,,
,ervogastat (PF-06865571),NASH,DGAT2,1,II,,,,"Durham, NC gene therapy plant",,
,clesacostat (PF-05221304),NASH,acetyl-CoA carboxylase,1,II,,,,"Rocky Mount, NC",,
,vepdegestrant (ARV-471),Breast Cancer,ER PROTAC,ARVN,III failed,,,,,,
,ritlectinib (PF-06651600),"Alopecia, Vitiligo, UC, Crohn's",JAK,,Filed? Launch 2023?,,,,Offices,,
,VLA15,Lyme vaccine,Vaccine,VALN,II,,,,,,
,PF-06425090,C. Difficile,Vaccine,1,III,,,,,,
,sisunatovir,RSV,Fusion inhibitor,100% (ReViral),II,,,,,,
,GBT-601,Sickle Cell,,,I,,,,,,
,PF-07220060,Breast Cancer,CDK4i,,,,,,,,
,,"Liver, Muscle, CNS RD",Base Editor,BEAM,PC,,,,,,
,,Shingles,Vaccine,BNTX,PC,,,,,,
,PF-05280586,Rheumatoid Arthritis,Biosimilar Rituxan,1,I,,,,,,
,,,,,,,,,,,
,,,,,January 2007: Fesoterodine PDUFA - approvable,,,,,,
,,,,,June 2007: Resubmitted dalbavancin filing.,,,,,,
,,,,,"10/28/2008: ACR - CP-690,550 28-week data.",,,,,,
,,,,,January 2009: CRL for Fablyn.,,,,,,
,,,,,Early 2009: Launch fesoterodine.,,,,,,
,,,,,2010: Acquires KG.,,,,,,
,,,,,"2/1/11: Reports quarter, plan to cut R&D, exit UK site, buyback upped to $9bn.",,,,,,
,,,,,2/2/11: Ex-dividend.,,,,,,
,,,,,2/2011: Pfizer acquires Ferrosan consumer health.,,,,,,
,,,,,3/2011: Pfizer completes King acquisition.,,,,,,
,,,,,8/2011: Capsugel sold to KKR.,,,,,,
,,,,,"12/2011: Kindler steps down, Read in.",,,,,,
,,,,,4/2012: Pfizer to divest Nutritionals to Nestle for $12bn.,,,,,,
