Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
1842-1,Translator's notes to an article on Babbage's Analytical Engiro. Scientific Memoirs 1842,,
,Author,Countess of Lovelace,
,,,
1872-1,Erewhon,,
,Author,Samuel Butler,
,,,
,,,
1931-1,"Uber formal unentscheildbare Satze der Principia Mathematica und verwandter Systeme, I. Monatshefle fur Math und Phys 1931;173-189",,
,Author,Kurt Godel,
,,,
,,,
1935-1,"General Recursive Functions of Natural Numbers. Am J Math 1935;57:153-173,219-244",,
,Author,SC Kleene,
,,,
1936-1,An Unsolvable Problem of Elementary Number Theory. Am J Math 1936;58:345-363,,
,Author,Alonzo Church,
,,,
1937-1,"On Computable Numbers, with an Application to the Entscheidungsproblem. Proc London Math Soc 1937;42:230-265",,
,Author,Alan Turing,
,,,
1940-1,History of Western Philosophy,,
,Author,Bertrand Russell,
,,,
1948-1,Cybernetics,,
,Author,Norbert Weiner,
,,,
1949-1,The Organization of Behavior (Wiley),,
,Author,Donald O Hebb (McGill),
,Citations,39254,
,Link,https://ailibrary.s3.amazonaws.com/The+Organization+of+Behavior+-+A+Neuropsychological+Theory+-+D.O.+Hebb.pdf,
,Comment,"Powerful work on physiological psychology. Interestingly, JCR Licklider read the manuscript.",
,References,Hebb and Darwin. P Adams. J Theor Biol 1998;195:419-438.,
,,The influence of environment and experience on neural grafts. Dobrossy & Dunnett. Nat Rev Neurosci 2001;2:871-879.,
,,The 'direct' inhibitory pathway in the spinal cord. Eccles et al. Aus J Sci 1954;16:130-134.,
,,D.O. Hebb and the developmental organization of behavior. JC Fentress. Dev Psychobiol 1987;20:103-109.,
,,The organization of behavior revisited. JC Fentress. Can J Exp Psychol 1999;53:8-19.,
,,The neurobiology of slow synaptic transmission. P Greengard. Science 2001;294:1024-1030.,
,,"Conditioned and unconditioned reflexes and inhibition. DO Hebb. MA Thesis 1932, McGill.",
,,"The interpretation of experimental data on neural action. DO Hebb, Unpublished 1934.",
,,"The innate orgranization of visual perception in the rat. DO Hebb, Unpublished 1936.",
,,The Hebb legacy. RM Klein. Can J Exp Psychol 1999.,
,,Beyond Hebb: Exclusive-OR and biological learning. Klemm et al. Phys Rev Lett 2000;84:3013-3016.,
,,The mind and Donald O. Hebb. PM Milner. Sci Am 1993;268:124-129.,
,,The Autonomous Brain. PM Milner 1999.,
,,How do cell assemblies encode information in the brain? Y Sakurai. Neurosci Biobehav Rev 1999.,
,,Half a century of Hebb. HS Seung. Nat Neurosci Suppl 2000.,
,,Linking Hebb's coincidence-detection to memory formation. JZ Tsien. Curr Opin Neurobiol 2000;10:266-273.,
,,D.O. Hebb: father of cognitive psychobiology: 1904-1985. S Harnad. Behav Brain Sci 1985.,
,,"The nature of thought: Essays in honor of D.O. Hebb, 1981.",
,,Donald Olding Hebb: 1904-1985. P Milner. Proc R Soc Can 1985.,
,,Donald Olding Hebb (1904-1985). P Milner. Trends Neurosci 1986.,
,,Donald Olding Hebb: 1904-1985. P Milner & B Milner. Biograph Mem R Soc Lond 1996.,
,,Obituaries. Donald Olding Hebb:1904-1985. GJ Mogenson. Canad Psychol 1988.,
,,,
1949-2,Calculating Instruments and Machines,,
,Author,DR Hartree,
,,,
1949-3,The Mind of Mechnical Man. BMJ 1949,,
,Author,G Jefferson,
,,,
1950-1,Computing Machinery And Intelligence. Mind 1950.,,
,Author,Alan Turing,
,Citations,21162,
,Link,https://ailibrary.s3.amazonaws.com/Computing+Machinery+and+Intelligence+-+Turing+1950.pdf,
,Read,2023-09-03 00:00:00,
,References,"1872-1, 1936-1, 1931-1, 1949-2, 1935-1, 1949-3, 1842-1, 1940-1, 1937-1",
,,,
1951-1,Intelligent Machinery: A Heretical Idea,,
,Author,Alan Turing,
,Citations,259,
,Link,https://ailibrary.s3.amazonaws.com/Intelligent+Machinery+-+a+Heretical+Theory+-+Turing+1951.pdf,
,,,
1953-1,"Stochastic games. Proceedings of the national academy of sciences, 39(10):
1095–1100, 1953.",,
,Author,Lloyd S Shapley,
,Citations,3169,
,Link,https://ailibrary.s3.amazonaws.com/Stochastic+Games+-+Shapley.pdf,
,,,
1955-1,A proposal for the Dartmouth Summer Resarch Project on Artificial Intelligence. 1955.,,
,Authors,"John McCarthy, Marvin Minsky, Nathaniel Rochester, Claude Shannon.",
,Citations,2971,
,Link,https://ailibrary.s3.amazonaws.com/A+Proposal+for+the+Dartmouth+Summer+Research+Project+on+Artificial+Intelligence.pdf,
,,https://ailibrary.s3.amazonaws.com/A+Proposal+for+the+Dartmouth+Summer+Research+Project+on+AI+-+McCarthy+1955.pdf,
,Read,2023-08-30 00:00:00,
,,,
1958-1,"The perceptron: A probabilistic model for information storage and organization in the brain. Psychological Review, v65, n6, p386 1958.",,
,Authors,Frank Rosenblatt,
,Citations,17453,
,Link,https://ailibrary.s3.amazonaws.com/Perceptron.pdf,
,,,
1959-1,Programs with common sense. 1959.,,
,Authors,John McCarthy,
,Citations,1984,
,Link,https://ailibrary.s3.amazonaws.com/Programs+with+Common+Sense+-+McCarthy+1959.pdf,
,,,
1960-1,Man-computer symbiosis. IRE Transact Human Factor 1960,,
,Authors,JCR Licklider,
,Citations,2957,
,Link,https://ailibrary.s3.amazonaws.com/Man-Computer+Symbiosis+-+Licklider.pdf,
,,,
1961-1,Principles of Neurodynamics 1961.,,
,Authors,Frank Rosenblatt,
,Citations,9588,
,Link,https://ailibrary.s3.amazonaws.com/neurodynamics1962rosenblatt.pdf,
,,,
1961-2,Steps toward artificial intelligence. Proceedings of the IRE 1961.,,
,Authors,Marvin Minsky,
,Citations,2896,
,Link,https://ailibrary.s3.amazonaws.com/Steps+Toward+Artificial+Intelligence+-+Minsky.pdf,
,,,
1969-1,Perceptrons: an introduction to computational geometry. 1969.,,
,Authors,"Marvin Minsky, Seymour Papert.",
,Citations,12004,
,Link,https://ailibrary.s3.amazonaws.com/Marvin+Minsky%2C+Seymour+Papert+-+Perceptrons_+An+introduction+to+computational+geometry-MIT+Press+(1969).djvu,
,,,
1975-1,Cognitron: A self-organizing multilayered neural network. Biological cybernetics 1975.,,
,Authors,K Fukushima,
,Citations,1026,
,Link,https://ailibrary.s3.amazonaws.com/Cognitron+-+A+Self-Organizing+Multilayered+Neural+Network+-+Fukushima+1975.pdf,
,,,
1976-1,"Taylor expansion of the accumulated rounding error. Bit 16 (1976), 146-160",,
,Authors,Seppo Linnainmaa,
,Citations,429,
,Link,https://ailibrary.s3.amazonaws.com/Taylor+expansion+of+the+accumulated+rounding+error+-+Linnainmaa+1976.pdf,
,,,
1979-1,Algorithm AS 136: A k-means clustering algorithm. J Royal Stat Soc C 1979.,,
,Authors,"JA Hartigan, MA Wong. J Royal Stat Soc C.",
,Citations,17070,
,Link,https://ailibrary.s3.amazonaws.com/Algorithm+AS+136+-+A+K-Means+Clustering+Algorithm+-+Hartigan.pdf,
,,,
1980-1,"Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position. Biol. Cybern. 36, 4 (1980), 193–202.",,
,Authors,"Fukushima, K",
,Citations,8121,
,Link,https://ailibrary.s3.amazonaws.com/Neocognitron+-+Fukushima+1980.pdf,
,,,
,The Sciences of the Artificial,,
,Author,Herb Simon,
,,,
,,,
1981-1,Some philosophical problems from the standpoint of artificial intelligence. Readings in artificial intelligence 1981.,,
,Authors,"John McCarthy, PJ Hayes",
,Citations,6002,
,Link,https://ailibrary.s3.amazonaws.com/Some+Philosophical+problems+from+the+standpoint+of+AI+-+McCarthy+1981.pdf,
,,,
1982-1,Principles of Artificial Intelligence. 1982.,,
,Authors,Nils Nilsson (Stanford),
,Citations,9169,
,Link,https://ailibrary.s3.amazonaws.com/Principles+of+Artificial+Intelligence+-+Nilsson.pdf,
,,,
1985-x,Artificial Intelligence: The Very Idea,,
,Authors,John Haugeland,
,,,
1985-1,A learning algorithm for Boltzmann machines. Cognitive Science 1985.,,
,Authors,"Ackley, DH, Geoffrey E Hinton, TJ Sejnowski",
,Citations,5349,
,Link,https://ailibrary.s3.amazonaws.com/A+Learning+Algorithm+for+Boltzmann+Machines+-+Ackley%2C+Hinton%2C+Sejnowski.pdf,
,,,
1985-2,Une procedure d'apprentissage pour reseau a seiul (A learning process for asymmetric threshold network). 1985 (French). Disordered Systems and Biological Organization 1986 (English).,,
,Authors,Yann LeCun,
,Citations,391,
