Drugs,Unnamed: 1,Unnamed: 2
,Brand,"fka RG7412, MABT5102A"
,Generic,crenezumab
,Company,Roche
,MOA,"IgG4 aggregated Abeta, 10x higher affinity for soluble oligomers at AA16-24"
,,Potential cross-reactivity in human plasma
