Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
,Gross Profit,,,,132.337,153.425,170.15800000000002,187.30800000000002,204.058,229.09500000000006,256.61300000000006,317.88599999999997,369.541,430.679,416.16299999999995,475.84,515.8399999999999,,,,,204.49399999999997,408.72200000000004,714.9490000000001,1173.1350000000002,1848.9119999999998,2217.3662016000007,2515.1810953420804,2841.771921778945,3259.8155243731135,3700.3841483933306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marketing,,,,85.542,97.245,107.219,116.076,125.895,130.553,144.922,182.284,221.085,231.235,217.862,236.9692,287.4105,,,,,135.902,272.587,446.435,678.844,950.3816,1045.4197600000002,1149.9617360000004,1264.9579096000007,1391.453700560001,1530.5990706160012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operations & Support,,,,22.521,26.182,29.227,31.609,32.839,38.747,41.453,47.519,58.083,63.033,66.49,57.0228,69.69959999999999,,,,,47.593,77.403,119.857,185.802,260.1228,286.13508,314.74858800000004,346.2234468000001,380.8457914800001,418.93037062800016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TD,,,,8.311,10.748,11.804,12.27,13.405,15.324,18.654,21.092,23.749,29.914,37.848,25.310399999999998,28.4988,,,,,22.379,29.237,48.227,78.819,86.7009,95.37099,104.90808900000002,115.39889790000002,126.93878769000004,139.63266645900006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,27.568,30.513,31.144,35.907,32.319,34.568,40.554,44.617,48.028,48.61,67.273,53.5404,57.633599999999994,,,,,113.662,98.192,129.883,167.767,184.5437,202.99807,223.29787700000003,245.62766470000005,270.19043117000007,297.2094742870001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,143.942,164.68800000000002,179.394,195.86200000000002,204.45799999999997,219.192,245.583,295.512,350.94500000000005,372.79200000000003,389.47299999999996,372.8428,443.2425,,,,,319.536,477.41900000000004,744.402,1111.232,1481.749,1629.9239000000002,1792.9162900000006,1972.2079190000009,2169.428710900001,2386.3715819900012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,-11.605000000000018,-11.263000000000005,-9.23599999999999,-8.554000000000002,-0.39999999999997726,9.903000000000048,11.030000000000058,22.373999999999967,18.595999999999947,57.886999999999944,26.689999999999998,102.99719999999996,72.59749999999991,,,,,-115.04200000000003,-68.697,-29.452999999999975,61.90300000000025,367.1629999999998,587.4423016000005,722.2648053420799,869.5640027789441,1090.3868134731124,1314.0125664033294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Income,,,,0.577,1.8777,2.239,2.226,2.596,2.5,2.394,1.219,3.695,2.598,6.13,6.13,6.13,,,,,4.247,2.988,7.882,9.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,-11.028000000000018,-9.385300000000004,-6.99699999999999,-6.328000000000002,2.196000000000023,12.403000000000048,13.424000000000058,23.592999999999968,22.290999999999947,60.48499999999994,32.82,109.12719999999996,78.7274999999999,,,,,-110.79500000000003,-65.709,-21.570999999999977,71.71100000000024,367.1629999999998,587.4423016000005,722.2648053420799,869.5640027789441,1090.3868134731124,1314.0125664033294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,0.121,0.386,0.013,0.651,-0.951,1.275,-0.127,0,0,-11.01,9.652,10.912719999999997,7.872749999999991,,,,,-3.136,0.031,1.975,1.148,73.43259999999997,117.48846032000012,144.452961068416,173.91280055578883,218.07736269462248,262.8025132806659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,-10.907000000000018,-8.999300000000005,-6.98399999999999,-5.677000000000002,1.2450000000000228,13.678000000000049,13.297000000000057,23.592999999999968,22.290999999999947,49.474999999999945,42.472,120.03991999999995,86.6002499999999,,,,,-107.65900000000003,-65.74000000000001,-23.545999999999978,70.56300000000024,293.7303999999998,469.9538412800004,577.8118442736638,695.6512022231552,872.3094507784899,1051.2100531226636,1040.697952591437,1030.2909730655226,1019.9880633348674,1009.7881827015187,999.6903008745036,989.6933978657586,979.796463887101,969.99849924823,960.2985142557477,950.6955291131902,941.1885738220583,931.7766880838377,922.4589212029994,913.2343319909694,904.1019886710596,895.060968784349,886.1103590965055,877.2492555055404,868.476762950485,859.79199532098,851.1940753677702,842.6821346140925,834.2553132679516,825.912760135272,817.6536325339193,809.4770962085802,801.3823252464944,793.3685019940294,785.4348169740891,777.5804688043482,769.8046641163047,762.1066174751417,754.4855513003903,746.9406957873864,739.4712888295126,732.0765759412175,724.7558101818053,717.5082520799872,710.3331695591874,703.2298378635954,696.1975394849595,689.23556409011,682.3432084492089,675.5197763647168,668.7645786010696,662.076932815059,655.4561634869084,648.9016018520393,642.412585833519,635.9884599751838,629.628575375432,623.3322896216777,617.0989667254609,610.9279770582062,604.8186972876242,598.770510314748,592.7828052116005,586.8549771594845,580.9864273878896,575.1765631140107,569.4247974828706,563.7305495080419,558.0932440129615,552.5123115728319,546.9871884571036,541.5173165725325,536.1021434068072,530.741121972739,525.4337107530116,520.1793736454815,514.9775799090266,509.8278041099364,504.729526068837,499.68223080814863,494.6854085000671,489.73855441506646,484.8411688709158,479.9927571822066,475.19282961038454,470.44090131428067,465.73649230113784,461.0791273781265,456.4683361043452,451.90365274330173,447.38461621586873,442.91077005371005,438.48166235317296
,EPS,,,,-0.05291057061370202,-0.04344543329758078,-0.03350880595731293,-0.027016006938902208,0.005611878279162569,0.059634315384827385,0.05663310866425043,0.10036604530032268,0.09259930456015517,0.20062022406272237,0.16540274595040164,0.4674828685172944,0.33725558367845293,,,,,-0.5763899458649386,-0.32144165457471036,-0.11247477796334296,0.3002835915593818,1.2499811439730946,1.999906853828291,2.4589007814866912,2.960370753456771,3.7121468025871325,4.473465275498503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,206.140283,207.140298,208.422825,210.134681,221.850856,229.364585,234.791985,235.069539,240.72535,246.610232,256.779292,256.779292,256.779292,,,,,186.781537,204.51612,209.344712,234.98786474999997,234.98786474999997,234.98786474999997,234.98786474999997,234.98786474999997,234.98786474999997,234.98786474999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,0.4749675544099088,0.4581485558525975,0.5181807687867945,0.7713179149444858,0.9509405195868932,1.1066178717407635,0.7259732360097322,0.48123798424130126,0.34015326132365065,,,,0.8018483974902493,0.8276652527276025,0.9380604535857997,0.6549127375141388,0.6932500000000001,0.6054029965174725,0.24725289773877868,0.1815731229949673,0.1621292044025966,0.14710666939536576,0.13515139759478934,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subscribers y/y,,,,,,,,0.47788461538461546,0.41356492969396186,0.43384615384615377,0.435483870967742,0.45022771633051395,0.38443534230544185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,0.7914750333427031,0.8042407087068197,0.8184135595829005,0.8262409626862051,0.8274220558837722,0.823576145608277,0.8129720448094081,0.7916355377581209,0.7680545538815187,0.7349470989761092,0.7638821585903084,0.8,0.7999999999999999,,,,,0.7521535394551967,0.7756872063099242,0.819895642201835,0.7945302245694928,0.78,0.7500000000000001,0.72,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,204.44799999999998,228.14799999999997,254.927,301.10699999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventory,,,,,,,,,29.826,40.588,49.11,64.427,,,,,,,,,,,,,0.61,0.88,,,,,,10184.10144433712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,28.316,23.038,23.194,31.153,,,,,,,,,,,,,,,,,,,,45.498959902247904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,128.744,128.014,157.546,156.13799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,45.212,49.54,52.144,82.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,11.422,11.034,10.884,10.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DTA,,,,,,,,,0,0,54.318,61.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OLTA,,,,,,,,,0.138,0.138,0.138,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,448.10599999999994,480.5,602.261,707.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,43.919,57.099,75.444,91.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,26.714,28.948,43.224,53.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,13.735,20.99,32.184,75.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earnout,,,,,,,,,7.412,0,0,1.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,11.823,11.475,1.793,9.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OLTL,,,,,,,,,0.021,0.022,9.565,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,344.482,361.966,440.051,476.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,448.10600000000005,480.5,602.261,707.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,13.678000000000049,13.297000000000057,23.592999999999968,22.290999999999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,11.128,13.297,75.58800000000001,26.02499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,3.001,3.6430000000000002,4.382999999999999,6.061000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,19.032,24.041999999999998,24.898999999999997,24.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accretion,,,,,,,,,-1.077,-1.2040000000000002,-1.1589999999999998,-0.9150000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Impairment,,,,,,,,,0.075,0.03900000000000001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
