Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Equities AUM,,,,,,,,,,,,,,,,6310.191,,,,,,,,,,,
,FI AUM,,,,,,,,,,,,,,,,2905.669,,,,,,,,,,,
,PE AUM,,,,,,,,,,,,,,,,211.974,,,,,,,,,,,
,,,,,,,,,,,,,,,,,76.39,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash AUM,,,,,,,,,,,,,,,,920.663,,,,,,,,,,,
,Retail AUM,,,,,,,,,,,,,,,,1015.827,,,,,,,,,,,
,Active AUM,,,,,,,,,,,,,,,,2136.749,,,,,,,,,,,
,Index AUM,,,,,,,,,,,,,,,,3247.637,,,,,,,,,,,
,ETF AUM,,,,,,,,,,,,,,,,4230.375,,,,,,,,,,,
,AUM,,,,,,,,10008.995,,,,11551.251,,,10008.995,11551.251,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,,,,,,,,,17873.0,17859.0,20407.0,,,,,,,,,,,
,Compensation,,,,,,,,,,,,,,5681.0,5779.0,6546.0,,,,,,,,,,,
,Distribution,,,,,,,,,,,,,,2179.0,2051.0,2171.0,,,,,,,,,,,
,Fund Expense,,,,,,,,,,,,,,1226.0,1331.0,1464.0,,,,,,,,,,,
,Subadvisory,,,,,,,,,,,,,,103.0,116.0,140.0,,,,,,,,,,,
,G&A,,,,,,,,,,,,,,2057.0,2095.0,2221.0,,,,,,,,,,,
,Operating Expenses,,,,,,,,,,,,,,11246.0,11372.0,12542.0,,,,,,,,,,,
,Operating Income,,,,,,,,,,,,,,6627.0,6487.0,7865.0,,,,,,,,,,,
,Interest,,,,,,,,,,,,,,-95.0,880.0,721.0,,,,,,,,,,,
,Pretax Income,,,,,,,,,,,,,,6532.0,7367.0,8586.0,,,,,,,,,,,
,Taxes,,,,,,,,,,,,,,1296.0,1479.0,1783.0,,,,,,,,,,,
,Net Income,,,,,,,,,,,,,,5236.0,5888.0,6803.0,,,,,,,,,,,
,EPS,,,,,,,,,,,,,,34.356955380577425,39.07100199071002,44.87467018469657,,,,,,,,,,,
,Shares,,,,,,,,,,,,,,152.4,150.7,151.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,4956.0,4165.0,4956.0,,,,,,,,,,,
,CX,,,,,,,,,,,,,,533.0,344.0,255.0,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,4423.0,3821.0,4701.0,,,,,,,,,,,
