Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,,,,,,,,,,,,,,,,,
,,Q122,Q222,Q322,Q422,Q123,Q223,FQ323,FQ423,FQ124,FQ224,FQ324,FQ424,FQ125,FQ225,FQ325,FQ425,FQ126,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,APAC TPV,,,,,,,,,606,578,566,583,603,,,,,,,,,2382.0,2330.0,,,,,,,,,,,
,Canada TPV,,,,,,,,,110,102,113,113,118,,,,,,,,,422.0,446.0,,,,,,,,,,,
,CEMEA TPV,,,,,,,,,307,302,311,324,335,,,,,,,,,1168.0,1272.0,,,,,,,,,,,
,LAC TPV,,,,,,,,,373,346,360,363,376,,,,,,,,,1389.0,1445.0,,,,,,,,,,,
,US TPV,,,,,,,,,1754,1709,1804,1799,1869,,,,,,,,,6824.0,7181.0,,,,,,,,,,,
,EU TPV,,,,,,,,,768,744,797,852,846,,,,,,,,,2933.0,3239.0,,,,,,,,,,,
,Total TPV,,,,,,,,,3917,3782,3952,4035,4148,,,,,,,,,15078.0,15917.0,,,,,,,,,,,
,  Debit,,,,,,,,,1703,1625,1703,1739,1799,,,,,,,,,6511.0,6866.0,,,,,,,,,,,
,  Credit,,,,,,,,,2214,2157,2249,2296,2349,,,,,,,,,8567.0,9051.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Credit Transactions,,,,,,,,,25578,24502,26341,27378,28271,,,,,,,,,96422.0,106492.0,,,,,,,,,,,
,Debit Transactions,,,,,,,,,44916,43493,46407,47890,49185,,,,,,,,,170276.0,186975.0,,,,,,,,,,,
,Total Transactions,,,,,,,,,70494,67995,72748,75268,77456,,,,,,,,,266698.0,293467.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accounts,,,,,,,,,3986,4048,4096,4170,,,,,,,,,,3986.0,,,,,,,,,,,,
,Cards,,,,,,,,,4481,4549,4608,4700,,,,,,,,,,4481.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service,,,,,3511,3771,3668,3876,3915,4033,3967,4199,4208,,,,,,,,,,,,,,,,,,,,,
,Data Processing,,,,,3827,3819,4105,4256,4356,4259,4489,4610,4745,,,,,,,,,,,,,,,,,,,,,
,International,,,,,2797,2749,2920,3172,3019,2984,3194,3468,3442,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,587,551,597,744,692,756,780,969,912,,,,,,,,,,,,,,,,,,,,,
,Incentives,,,,,-2786,-2905,-3167,-3439,-3348,-3257,-3530,-3629,-3797,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,7189,,,7936,7985,8123,8609,8634,8775,8900,9617,9510,9594,10172,10724,0,,,,,,,,,,,,,,,,,
,Network,,190,,,178,179,182,197,181,189,200,208,207,224,224,239,,,,,,,,,,,,,,,,,,
,Gross Margin,,6999,,,7758,7806,7941,8412,8453,8586,8700,9409,9303,9370,9948,10485,,,,,,,,,,,,,,,,,,
,Personnel,,1226,,,1337,1515,1481,1498,1479,1603,1573,1609,1813,1657,1749,1742,,,,,,,,,,,,,,,,,,
,Marketing,,314,,,332,309,297,403,293,338,378,551,306,381,421,576,,,,,,,,,,,,,,,,,,
,Professional,,125,,,109,130,133,173,131,189,152,192,143,173,187,256,,,,,,,,,,,,,,,,,,
,G&A,,325,,,322,282,314,412,340,452,382,424,481,419,482,544,,,,,,,,,,,,,,,,,,
,Operating Expenses,,1990,0,0,2100,2236,2225,2486,2243,2582,2485,2776,2743,2630,2839,3118,,,,,,,,,,,,,,,,,,
,Operating Margin,,5009,0,0,5658,5570,5716,5926,6210,6004,6215,6633,6560,6740,7109,7367,,,,,,,,,,,,,,,,,,
,Interest,,-260,,,-113,-58,122,86,88,159,51,23,-34,3,156,75,,,,,,,,,,,,,,,,,,
,Pretax Income,,4749,0,0,5545,5512,5838,6012,6298,6163,6266,6656,6526,6743,7265,7442,,,,,,,,,,,,,,,,,,
,Taxes,,895,,,798,1021,990,955,1152,850,1117,1054,1081,861,1061,1133,,,,,,,,,,,,,,,,,,
,Net Income,,3854,0,0,4747,4491,4848,5057,5146,5313,5149,5602,5445,5882,6204,6309,,,,,,,,,,,,,,,,,,
,EPS,,1.607843137254902,,,2.014000848536275,1.9126916524701874,2.593900481540931,2.179741379310345,2.23836450630709,2.3170518970780636,2.8447513812154694,2.6116550116550115,2.568396226415094,2.7903225806451615,2.9641662685140946,3.034632034632035,,,,,,,,,,,,,,,,,,
