Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,,Q199,Q299,Q399,Q499,Q100,Q200,Q300,Q400,Q101,Q201,Q301,Q401,Q102,Q202,Q302,Q402,Q103,Q203,Q303,Q403,Q104,Q204,Q304,Q404,Q105,Q205,Q305,Q405,Q106,Q206,Q306,Q406,Q107,Q207,Q307,Q407,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009E
,Oral Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,96,113,359,354,396,379,386,408,434,396,365,386,410,410,381,0,384,0,,,,,,,,,209.0,1488.0,1624.0,1571
,     Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,69,203,186,211,189,199,185,204,192,188,174,187,187,174,,164,,,,,,,,,,127.0,789.0,780.0,736
,     International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,44,156,168,185,190,187,223,230,204,177,212,223,223,207,,220,,,,,,,,,,82.0,699.0,844.0,835
,Women's Health,347,354,360,358,340,350,340,314,312,304,325.4,288.49,297.6,320.5,323,310.5,312.6,344,358.4,354.4,348.4,368,371.2,382.4,377,406,398,388,399,443,432,420,421,463,461,461,461,504,510,436,423,481,502,502,469,0,459,0,,1419.0,1344.0,1228.8899999999999,1251.6,1369.4,1470.0,1569.0,1694.0,1806.0,1911.0,1908
,     Domestic,131,134,139,141,137,135,137,130,124,122,138,117.99,127.4,129,135,131.5,129.4,128,141.4,127.6,129.9,135,135.2,133.4,139,151,140,136,140,165,151,140,163,163,149,148,148,158,164,148,149,152,142,142,146,,121,,,545.0,539.0,501.99,522.9,526.4,533.5,566.0,596.0,623.0,618.0,585
,     International,216,220,221,217,203,215,203,184,188,182,187.4,169.5,170.2,191.5,188,179,183.2,216,217,226.8,218.5,233,236,249,238,255,258,252,259,278,281,280,258,300,312,313,313,346,346,288,274,329,360,360,323,,338,,,874.0,805.0,726.9,728.7,843.0,936.5,1003.0,1098.0,1183.0,1293.0,1323
,Wound Care/Other,276.39000000000004,265.71,274.17,248.07692307692307,249,260.5,247,258,219.5,200,209.5,194.4,187.5,209.4,202.4,183.9,222.4,249,226.60000000000002,213,230.3,231,216,204.4,218.89999999999998,249.2,221.60000000000002,208,238,255,143,129,248,297,254,225,250,308,272,200,244,336,293,293,260,0,249,0,,1065.2250000000001,1014.5,823.4,783.2,911.0,881.7,897.7,765.0,1024.0,1030.0,1166
,     Domestic ,169.85999999999999,165.34653465346534,173.60000000000002,161.32075471698113,149,167,155,171,135,120,131.5,116,116,137,119.2,100.4,137,143,135.8,117.4,119.3,134,126,111.4,120.1,148,123.4,108,130,150,81,60,142,185,154,122,133,182,151,101,138,188,158,158,143,,139,,,674.1,642.0,502.5,472.6,533.2,490.70000000000005,499.5,421.0,603.0,567.0,642
,     International,106,100.045,98.44000000000001,87.87,100,93.5,92,87,84.5,80,78,78.4,71.5,72.4,83.2,83.5,85.4,106,90.8,95.6,111,97,90,93,98.8,101.2,98.2,100,108,105,62,69,106,112,100,103,117,126,121,99,106,148,135,135,117,,110,,,391.125,372.5,320.9,310.6,377.79999999999995,391.0,398.2,344.0,421.0,463.0,524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Consumer,1734.6534653465346,1689.6039603960396,1704.950495049505,1740.23,1752,1706.5,1722,1723,1630.5,1530,1608.7,1550.69,1603.9,1649.3,1668.1000000000001,1649.9,1791.15,1819.75,1841.35,1978.75,2047,2000.4,2023.6999999999998,2261.8,2280,2278.2,2231,2316,2355,2458,2456,2565,3496,3564,3623,3810,4064,4036,4099,3855,3711,3854,3989,4089,3766,0,3567,0,,6835.148514851485,6903.5,6319.889999999999,6571.200000000001,7431.0,8332.9,9105.2,9834.0,13005.0,16054.0,15643
,     Domestic ,924.5098039215686,875.7281553398058,920.5882352941177,947.5728155339806,943,902,939,976,896,807,895.5,850.19,899.7,907.4,910.4000000000001,887.9,999.8000000000001,931.5,984.5999999999999,1052.5,1081,987,1022.5999999999999,1133.9,1114,1092,1075.2,1125,1124,1169,1138,1182,1629,1562,1591,1626,1819,1694,1769,1655,1726,1708,1691,1741,1560,,1277,,,3686.2745098039213,3760.0,3448.69,3605.4,3968.4,4224.5,4406.2,4613.0,5619.0,6937.0,6866
,     International,800.990099009901,812.545,783,791.82,809,804.5,783,747,734.5,723,713.2,700.5,704.2,741.9,757.7,762,791.35,888.25,856.75,926.25,966,1013.4,1001.1,1127.9,1166,1186.2,1155.8,1191,1231,1289,1318,1383,1867,2002,2032,2184,2245,2342,2330,2200,1985,2146,2298,2348,2206,,2290,,,3206.37,3143.5,2871.2,2965.8,3462.6,4108.4,4699.0,5221.0,7386.0,9117.0,8777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin Care Y/Y,,,,,0.08427350030203073,0.08000000000000007,0.040000000000000036,0.06000000000000005,-0.060913705583756306,-0.09296482412060303,-0.05626740947075204,-0.09044943820224727,0.07837837837837847,0.10803324099723,0.15525383707201867,0.18128474366893155,0.16541353383458657,0.1200000000000001,0.07562595809913142,0.20915032679738554,0.20924731182795697,0.1361607142857142,0.20902612826603328,0.21081081081081088,0.10261426284901298,0.18271119842829076,0.14341846758349708,0.06428571428571428,0.06290322580645169,0.10631229235880402,0.09106529209621983,0.14932885906040272,0.1593323216995448,0.13663663663663672,0.16062992125984255,0.15766423357664228,0.09947643979057585,0.10832232496697491,0.16417910447761197,0.06431273644388402,0.0023809523809523725,-0.007151370679380209,-0.018648018648018683,-0.0023696682464454666,0.09263657957244664,,,,,,0.06265098448110074,-0.07524883875248845,0.12865958668197486,0.14215779769851866,0.1913721124408574,0.12133813016866779,0.1020833333333333,0.15349716446124773,0.10816125860373638,-0.0065069506063294424
,  Domestic Y/Y,,,,,0.1499999999999999,0.15999999999999992,0.040000000000000036,0.15999999999999992,0.02645502645502651,-0.06499999999999995,-0.03409090909090906,-0.1597701149425288,0.08762886597938135,0.10160427807486627,0.12588235294117656,0.16279069767441867,0.12796208530805697,0,0.034482758620689724,0.17352941176470593,0.12941176470588234,0.12135922330097082,0.20707070707070696,0.1929824561403508,0.05282738095238093,0.1601731601731602,0.13389121338912124,0.07563025210084029,0.18021201413427557,0.11940298507462677,-0.022140221402214055,0.09765625,0.06886227544910173,0.1266666666666667,0.17358490566037732,0.14946619217081847,0.07002801120448177,0.12130177514792906,0.1511254019292605,0.0619195046439629,0.10732984293193715,0.08443271767810034,0.033519553072625774,0.07871720116618075,0.0685579196217494,,,,,,0.12653746147665923,-0.05656292286874143,0.11646586345381515,0.08106372045220978,0.16078431372549007,0.10360360360360366,0.09461966604823746,0.12627118644067803,0.10007524454477057,0.07660738714090298
