Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146
,Byooviz,,,0,0,0,0,0,0,0,0.5,0.7,3.1,8.6,7,6.9,9.2,5.6,13.7,8,9.3,5.04,12.33,7.2,8.370000000000001,,,,,,,,,,,,,,,,4.3,31.7,36.599999999999994,32.94,29.645999999999997,26.681399999999996,24.01326,21.611933999999998,19.4507406,17.50566654,15.755099886,14.1795898974,12.76163090766,11.485467816894001,10.336921035204602,9.303228931684142,8.372906038515728,7.535615434664155,6.78205389119774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tofidence,,,,,,,,,,,,,,,,,,0.8,0.2,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,0.0,1.1,3.1,5.1,7.1,9.1,11.1,13.1,15.1,17.1,19.1,21.1,23.1,25.1,27.1,29.1,31.1,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zurzuvae,,,,,,,,,,,,,,,,,,14.9,22,22.9,23.9,24.9,25.9,26.9,,,,,,,,,,,,,,,,,0.0,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,2.1,2.7,2.7,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,4.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fumaderm,,,3.1,3.1,2.8,3.1,2.5,2.7,2.2,2.7,1.5,1.8,2.4,,,,,,,,,,,,,,,,,,,62.5,51.4,45.9,39.6,22.3,15.2,12.2,11.100000000000001,8.200000000000001,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leqembi,,,,,,,,,,,,,-18.9,,,2,19,40,67,87,,,,,,,,,,,,,,,,,,,,,-18.9,0.0,500.0,1000.0,1050.0,1102.5,1157.625,1180.7775,1204.39305,1228.4809109999999,1253.0505292199998,1278.1115398043999,1303.6737706004878,1329.7472460124977,1356.3421909327476,1383.4690347514027,1411.1384154464308,1439.3611837553594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aduhelm,,,0,0,0,1.6,0.3,1,2.8,0.1,1.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,,,2690.2999999999993,2301.5999999999995,2211.7000000000003,2235.9999999999995,2205.7000000000003,2193.7999999999997,2066.3,2054.7999999999997,1962.1000000000001,1904.4999999999998,1744.4,1841.5,1801.5000000000002,1828.4,1696.6999999999998,1896.9,1769.3999999999999,1832.6,1567.16,1727.96,1621.5200000000002,1693.7600000000002,,,,,,,,8203.399999999998,9188.500000000002,9817.9,10354.7,10886.800000000003,11379.800000000001,10692.2,8847.199999999999,7987.700000000001,7215.8,7195.600000000001,6968.605000000001,7032.232750000001,6928.1579225000005,6821.223081675001,6757.81893930025,6729.427646933009,6366.627859338926,6116.1547000585215,5915.9381224410245,5758.757617748641,5638.620634955438,4460.596294318742,4269.654410486428,4198.673124326561,4158.411431634997,4137.842196926211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ocrevus,,,272.4,202.4,209.3,,264.3,261.2,252.3,,281.1,311.1,283.6,325.5,319.1,338,302.7,336.3,346.8,353.7,363.23999999999995,403.56,416.16,424.44,,,,,,,,,,,,,748.0,897.6,734.8,844.5000000000001,1266.2,1339.5,1205.55,1084.995,976.4954999999999,878.8459499999999,790.9613549999999,711.8652195,640.67869755,576.6108277950001,518.9497450155001,467.0547705139501,420.34929346255507,378.31436411629954,340.4829277046696,306.4346349342026,275.79117144078236,248.21205429670414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rituxan/Gazyva,,,287.7,216.6,179.7,,151.1,152.9,147.1,,135.8,136.8,112.5,103.6,98.9,94.4,87.1,103.4,94.8,106.7,87.1,103.4,94.8,106.7,,,,,,1137.9,1126.0,1195.4,1339.2,1314.5,1559.2,1980.2,1542.4,1080.2,483.69999999999993,419.7,409.4,392.0,352.8,317.52000000000004,285.76800000000003,257.19120000000004,231.47208000000003,208.32487200000003,187.49238480000002,168.74314632000002,151.86883168800003,136.68194851920003,123.01375366728003,110.71237830055203,99.64114047049684,89.67702642344716,80.70932378110244,72.6383914029922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CD20,,,,,,440,,,,436.3,416.90000000000003,447.90000000000003,399.5,4.3,2.9,3.4,4.2,4.8,4.6,4.8,4.8,4.8,4.8,4.8,,,,,,,,,,,,,,,440.0,1301.1000000000001,410.09999999999997,18.4,16.56,14.904,13.4136,12.07224,10.865016,9.7785144,8.80066296,7.9205966640000005,7.1285369976,6.41568329784,5.774114968056001,5.196703471250401,4.67703312412536,4.209329811712824,3.788396830541542,3.4095571474873876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AD Collab,,,,,,,,,,,,,,,,,,,,26.7,31.7,36.7,41.7,46.7,,,,,,,,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,125.7,132,93.3,99,157.8,126.2,66.1,98,129.5,191.6,319.1,181.10000000000002,307.9,122.1,199.79999999999998,123.5,250.2,130.2,199.79999999999998,123.5,250.2,130.2,,,,,,212.5,263.9,304.5,236.1,316.4,360.0,585.9,707.7,774.6,476.3,485.20000000000005,930.2,703.7,633.33,569.9970000000001,512.9973000000001,461.6975700000001,415.5278130000001,373.9750317000001,336.5775285300001,302.91977567700013,272.6277981093001,245.3650182983701,220.8285164685331,198.7456648216798,178.87109833951183,160.98398850556066,144.8855896550046,130.39703068950413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,3376.099999999999,2852.5999999999995,2694.0000000000005,2774.9999999999995,2778.9000000000005,2734.0999999999995,2531.8,2589.1,2508.5,2543.9999999999995,2463,2456,2530.3000000000006,2386.3,2290.5,2464.9000000000005,2465.7999999999997,2454.6999999999994,2253.8,2399.92,2429.1800000000003,2406.6,,,,,,1350.4,1389.9,9703.299999999997,10763.800000000003,11448.8,12273.900000000001,13452.900000000003,14377.900000000001,13444.600000000002,10981.999999999998,11038.200000000003,10231.7,9675.900000000003,9176.845000000001,9019.64875,8716.832322500002,8431.030041675001,8206.64520330025,8033.371284533008,7540.177133178926,7172.349046514521,6866.513034251425,6614.275038378,6408.5863135218615,5153.565405028524,4893.326610125231,4759.978104001484,4663.585913342427,4592.499230462899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,449.1,490.6,478.1,459.7,511.8,660.1,753.9,484,469.5,570.9,662.8,592.7,659.6,586.8,500,503.7,592.6,540.5,495.836,527.9823999999999,534.4196,529.452,,,,,,,,1171.0,1240.4,1478.7,1630.0,1816.3,1955.4,1805.2,2109.7,2278.3,1841.7060000000001,2136.8,1651.8321000000005,1623.5367750000005,1569.0298180500013,1517.5854075015004,1477.1961365940451,1446.006831215942,1357.2318839722075,1291.0228283726146,1235.9723461652566,1190.5695069080402,1153.545536433935,927.6417729051345,880.798789822542,856.7960587202674,839.4454644016373,826.6498614833222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,2926.999999999999,2361.9999999999995,2215.9000000000005,2315.2999999999997,2267.1000000000004,2073.9999999999995,1777.9,2105.1,2039,1973.0999999999995,1800.2,1863.3,1870.7000000000007,1799.5000000000002,1790.5,1961.2000000000005,1873.1999999999998,1914.1999999999994,1757.9640000000002,1871.9376000000002,1894.7604000000003,1877.148,,,,,,,,8532.299999999997,9523.400000000003,9970.099999999999,10643.900000000001,11636.600000000004,12422.500000000002,11639.400000000001,8872.3,8759.900000000001,8389.994,7539.100000000003,7525.012900000001,7396.111975,7147.802504450001,6913.444634173501,6729.449066706205,6587.364453317066,6182.9452492067185,5881.326218141907,5630.540688086168,5423.70553146996,5255.0407770879265,4225.923632123389,4012.527820302689,3903.1820452812167,3824.14044894079,3765.8493689795764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,1140.9,1726,514.2,585.1,702.4,699.5,551.7,528.6,549.2,601.6,570.6,583.8,539.1,568.1,446.7,463.6,491.3,528.2,,,,,,,,,,,,1893.4,2012.8,1973.3,2253.6,2597.2,2280.6,3990.9,2501.2000000000003,2231.1000000000004,,1929.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,573.1,806.3,595,637.3,654.1,787.9,634.9,572.6,563.3,632.8,605,533.8,553,587.9,569.4,541.5,556.1,672.5,569.4,541.5,556.1,672.5,,,,,,,,2232.3,2113.1,1946.6,1933.9,2106.3,2374.7,2504.5,2674.3,2403.6,2283.4199999999996,2339.5,2222.525,2111.39875,2005.8288124999997,1905.5373718749995,1810.2605032812494,1719.7474781171868,1633.7601042113274,1552.072099000761,1474.468494050723,1400.7450693481867,1330.7078158807774,1264.1724250867385,1200.9638038324015,1140.9156136407814,1083.8698329587423,1029.6763413108051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
