Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Etiology,plasma cell malignancy,,,,,
,Epidemiology,"35,000 diagnoses pa US, 12,000 deaths pa; 176,000 WW incidence",,,,,
,Outcomes,60% 5-year survival rate,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Brand,Generic,Company,MOA,Approved,Revenue,1L
,Revlimid,lenalidomide,BMY,cereblon,,,
,Pomalid,pomalidomide,BMY,cereblon,,,
,Darzalex,daratumumab,JNJ/GMAB,CD38,,,
,Carvykti,ciltacabtagene autoleucel,JNJ/LEGN,BCMA CART,,,
,Abecma,idecabtagene vicleucel,BMY,BCMA CART,,,
,Tecvayli,teclistamab,JNJ,BCMAxCD3,,,
,Elrexfio,elranatamab,PFE,BCMAxCD3,,,
,Velcade,bortezomib,generic,Proteasome inhibitor,,,
,Ninlaro,ixazomib,Takeda,Proteasome inhibitor,,,
,Kyprolis,carfilzomib,AMGN,Proteasome inhibitor,,,
,Empliciti,elotuzumab,BMY,,,,
,Talvey,talquetamab,JNJ,GPRC5DxCD3,,,
,Sarclisa,isatuximab,SNY,,,,
,,carmustine,generic,,,,
,,melphalan,generic,,,,
,,,,,Regulatory,,
,REGN5458,linvoseltamab,REGN,BCMAxCD3,filed,,
,WVT078,,NVS,BCMAxCD3,,,
