Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Spinraza,,,,,,,66.572,,,,61.647,,,61.012,,,,56.743,,
,Tegsedi/Waylivra,,,,,,,15.519,,,,5.92,,,0,,,,3.781,,
,Licensing,,,,,,,2.729,,,,4.843,,,16.885,,,,11.512,,
,Revenue,,,,,,,84.82000000000001,0,0,0,72.41,,,77.897,0,0,0,72.036,,
,COGS,,,,,,,3.079,,,,1.515,,,,,,,,,
,Gross Profit,,,,,,,81.74100000000001,,,,70.895,,,,,,,,,
,R&D,,,,,,,184.77,,,,182.99,,,,,,,,,
,SG&A,,,,,,,31.093,,,,34.416,,,,,,,,,
,OpEx,,,,,,,215.863,,,,217.406,,,,,,,,,
,OpInc,,,,,,,-134.12199999999999,,,,-146.51100000000002,,,,,,,,,
