Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,Atripla NDC,,,,Truvada NDC,,,,Viread NDC,,,,Hepsera NDC,,,HIV
,,,IMS,TRx,NRx,,IMS,TRx,NRx,,IMS,TRx,NRx,,IMS,TRx,NRx,,
,2007-05-11,,,,,,,,,,,,,,,,,,
,2007-05-04,,,,,,,,,,,,,,,,,,
,2007-04-27,,,,,,,,,,,,,,,,,,
,2007-04-20,,,,,,,,,,,,,,,,,,
,2007-04-13,,,10280,3376,,,17194,5687,,,8707,2666,,,3259,918,,36181
,2007-04-06,,,10369,3400,,,18301,5875,,,9505,2804,,,3237,895,,38175
,2007-03-30,,,9901,3237,,,17550,5697,,,8947,2710,,,3320,963,,36398
,2007-03-23,,,10126,3481,,,17241,5596,,,8986,2741,,,3189,939,,36353
,2007-03-16,,,10186,3540,,,17616,5854,,,9216,2724,,,3321,943,,37018
,2007-03-09,,,10380,3445,,,18904,5952,,,9705,2930,,,3503,973,,38989
,2007-03-02,,,9825,3261,,,18623,5748,,,9982,2956,,,3378,994,,38430
,2007-02-23,,,9249,3150,,,16911,5560,,,9036,2721,,,3147,862,,35196
,2007-02-16,,,9314,3267,,,17156,5456,,,9335,2870,,,3238,956,,35805
,2007-02-09,,,9492,3354,,,17979,5882,,,9359,2861,,,3312,963,,36830
,2007-02-02,,,9046,3157,,,18296,5964,,,10099,3090,,,3349,1028,,37441
,2007-01-26,,,8666,3047,,,17106,5707,,,9324,2848,,,3174,951,,35096
,2007-01-19,,,8579,2826,,,17239,5454,,,9148,2794,,,3149,919,,34966
,2007-01-12,,,8896,2903,,,18420,5874,,,9707,2963,,,3333,879,,37023
,2007-01-05,,,7809,2416,,,17109,5254,,,9456,2641,,,3130,846,,34374
,2006-12-29,,,7406,2165,,,16284,4817,,,9000,2487,,,3014,775,,32690
,2006-12-22,,,8429,2800,,,18483,5807,,,9882,2886,,,3490,924,,36794
,2006-12-15,,,7997,2651,,,18439,5767,,,9653,2869,,,3230,882,,36089
,2006-12-08,,,7833,2715,,,18780,5872,,,10314,2963,,,3304,882,,36927
,2006-12-01,,,7782,2689,,,19258,6098,,,10690,3043,,,3399,929,,37730
,2006-11-24,,,6460,2388,,,15513,4874,,,8554,2314,,,2949,831,,30527
,2006-11-17,,,7216,2748,,,17940,5803,,,9745,2874,,,3189,1002,,34901
,2006-11-10,,,6747,2629,,,18575,5726,,,9993,2865,,,3240,926,,35315
,2006-11-03,,,6413,2637,,,18815,5933,,,10279,2956,,,3193,943,,35507
,2006-10-27,,,6271,2814,,,17824,5613,,,9729,2765,,,3174,947,,33824
,2006-10-20,,,5767,2616,,,17776,5748,,,9715,2947,,,3128,962,,33258
,2006-10-13,,,5478,2669,,,18800,6005,,,10060,3013,,,3212,953,,34338
,2006-10-06,,,,,,,19401,6152,,,10627,3134,,,3339,991,,30028
,2006-09-29,,,,,,,18744,6002,,,10211,2994,,,3063,871,,
,2006-09-22,,,,,,,18929,6224,,,9900,2892,,,3167,1021,,
,2006-09-15,,,,,,,19742,6042,,,10452,3023,,,3230,951,,
,2006-09-08,,,,,,,18382,5347,,,10002,2863,,,3104,856,,
,2006-09-01,,,,,,,19697,5931,,,10768,3097,,,3146,879,,
,2006-08-25,,,,,,,19810,5938,,,10464,3067,,,3027,916,,
,2006-08-18,,,,,,,19606,6139,,,10215,3036,,,2973,857,,
,2006-08-11,,,,,,,20135,6295,,,10600,3108,,,3101,882,,
,2006-08-04,,,,,,,20437,6351,,,10883,3098,,,3218,931,,
,2006-07-28,,,,,,,20489,6446,,,10705,3150,,,3028,833,,
,2006-07-21,,,,,,,20741,6548,,,10457,3089,,,2866,810,,
,2006-07-14,,,,,,,20725,6698,,,10917,3190,,,3110,879,,
,2006-07-07,,,,,,,19447,5965,,,10546,2871,,,2989,780,,
,2006-06-30,,,,,,,21178,6673,,,11370,3220,,,3128,952,,
,2006-06-23,,,,,,,20328,6636,,,10791,3225,,,3026,889,,
,2006-06-16,,,,,,,19935,6262,,,10634,3228,,,2974,849,,
,2006-06-09,,,,,,,20381,6562,,,11427,3392,,,3124,867,,
,2006-06-02,,,,,,,19088,5768,,,10785,3048,,,2951,808,,
,2006-05-26,,,,,,,19622,6382,,,10681,3060,,,3093,904,,
,2006-05-19,,,,,,,19289,6147,,,10614,3052,,,3017,847,,
,2006-05-12,,,,,,,19129,6272,,,10866,3065,,,3035,905,,
,2006-05-05,,,,,,,20262,6546,,,12071,3483,,,3093,881,,
,2006-04-28,,,,,,,18327,6083,,,10934,3258,,,3019,867,,
,2006-04-21,,,,,,,18176,6067,,,10500,3037,,,2871,847,,
,2006-04-14,,,,,,,17953,5874,,,11090,3140,,,3046,812,,
