Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,$5k customers,,,,,,,,,,,,,,,,14814.0,17722.0,20261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customers,,,,,,,,67100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,128.76,133.17,137.692,145.079,153.55,160.111,165.143,174.131,184.26000000000002,192.1332,,172.377,249.659,371.0,498.0,596.432,715.6672,858.8006399999999,1030.5607679999998,1185.1448831999996,1362.9166156799995,1567.3541080319992,1802.457224236799,1982.702946660479,2180.973241326527,2399.0705654591798,2638.977622005098,2902.875384205608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,24.179,25.156,25.236,24.861,26.263,27.009,25.89,28.175,29.481600000000014,30.741311999999994,,36.462,52.492,78.03,95.772,103.369,114.287912,128.82009600000004,154.58411520000004,177.77173247999997,204.43749235199994,235.10311620480002,270.3685836355198,297.40544199907185,327.145986198979,359.860584818877,395.84664330076475,435.4313076308413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,104.58099999999999,108.01399999999998,112.456,120.218,127.287,133.10199999999998,139.253,145.956,154.7784,161.391888,,135.91500000000002,197.167,292.97,402.228,493.063,601.379288,729.9805439999999,875.9766527999998,1007.3731507199997,1158.4791233279996,1332.2509918271992,1532.0886406012792,1685.2975046614072,1853.827255127548,2039.2099806403028,2243.1309787043333,2467.4440765747668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,35.871,34.658,32.857,34.18,34.885,35.834,34.684,40.993,40.993,40.993,,38.559,69.21,120.407,135.543,137.756,157.66299999999998,173.42929999999998,182.100765,191.20580325,200.7660934125,210.804398083125,221.34461798728125,232.41184888664532,244.0324413309776,256.2340633975265,269.04576656740284,282.498054895773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,86.865,94.838,86.81,87.975,90.673,92.323,94.642,104.248,104.27395,106.17144999999998,,111.115,133.277,260.345,343.207,357.78099999999995,359.3354,413.23571,475.22106649999995,546.5042264749999,601.1546491224999,661.2701140347499,727.397125438225,800.1368379820475,840.1436798811499,882.1508638752074,926.2584070689678,972.5713274224163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,40.133,39.126,40.896,41.352,40.464,44.986,42.094,44.502,44.502,44.502,,15.911,50.792,117.022,156.849,167.69799999999998,175.60000000000002,193.16000000000005,202.81800000000007,212.95890000000009,223.6068450000001,234.78718725000013,246.52654661250014,258.85287394312513,271.7955176402814,285.38529352229546,299.65455819841026,314.6372861083308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,162.869,168.62199999999999,160.563,163.507,166.022,173.14299999999997,171.42,189.74300000000002,189.76895000000002,191.66645,,165.58499999999998,253.27899999999997,497.774,635.5989999999999,663.2349999999999,692.5984,779.82501,860.1398315,950.668929725,1025.527587535,1106.861699367875,1195.2682900380064,1291.401560811818,1355.971638852409,1423.7702207950292,1494.958731834781,1569.70666842652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,-58.28800000000001,-60.608000000000004,-48.106999999999985,-43.289,-38.734999999999985,-40.041,-32.167,-43.787000000000035,-34.99055000000001,-30.274562000000003,,-29.66999999999996,-56.111999999999966,-204.80399999999997,-233.37099999999992,-170.1719999999999,-91.219112,-49.844466000000125,15.83682129999977,56.70422099499967,132.9515357929995,225.38929245932422,336.82035056327277,393.89594384958923,497.855616275139,615.4397598452736,748.1722468695523,897.7374081482467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,2.249,9.973,9.479,11.216,10.993,14.715,12.795,13.247,13.247,13.247,,2.18,2.833,23.303,12.582,46.403000000000006,52.536,29.41028664,28.91986633536,29.994026838608633,32.074784786615226,36.03541648052598,42.30960949508239,51.40872853648291,62.09604067374864,75.53488044052195,92.11827180738105,112.28524425562745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,-56.03900000000001,-50.635000000000005,-38.627999999999986,-32.073,-27.741999999999983,-25.325999999999997,-19.372,-30.540000000000035,-21.743550000000013,-17.027562000000003,,-27.48999999999996,-53.27899999999997,-181.50099999999998,-220.78899999999993,-123.7689999999999,-38.683111999999994,-20.434179360000126,44.75668763535977,86.6982478336083,165.02632057961472,261.42470893985023,379.12996005835515,445.3046723860721,559.9516569488877,690.9746402857955,840.2905186769333,1010.0226524038742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,1.804,4.842,4.036,3.585,3.291,2.755,3.953,-10.356,0,0,,3.635,4.015,10.516,11.342,13.666999999999998,-6.4030000000000005,-4.086835872000026,8.951337527071955,17.33964956672166,33.00526411592295,52.28494178797005,75.82599201167103,89.06093447721443,111.99033138977755,138.1949280571591,168.05810373538668,202.00453048077486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
