Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,2023-03-31 00:00:00,2024-03-31 00:00:00
,Revenue,1625763,1299538
,,,
,,,
,,,
,,,
,,,
,Cash,,100822
