Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,,Q117,Q217,Q317,Q418,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0
,Members Risk-based,,,,,,,,,,,,,,,,,,7840,,7985,7950,8010,,,8035,,8120,8115,8545,8735,8900,8845,8410,8440,,,,,,,,,,8045.0,8115.0,8845.0,,,,,,,
,Members Fee-based,,,,,,,,,,,,,,,,,,18395,,18595,18460,18480,,,19140,,19130,19200,20870,20835,20830,20885,21590,21530,,,,,,,,,,18640.0,19200.0,20885.0,,,,,,,
,Commercial Domestic,,,,,,,,,,,,,,,,,,26235,,26580,26410,26490,,,27175,0,27250,27315,29415,29570,29730,29730,30000,29970,,,,,,,,,,26685.0,27315.0,29730.0,,,,,,,
,Medicare Advantage,,,,,,,,,,,,,,,,,,6385,,6490,6890,6945,,,7590,,7645,7695,7760,7770,7810,7845,8245,8350,,,,,,,,,,7105.0,7695.0,7845.0,,,,,,,
,Medcaid,,,,,,,,,,,,,,,,,,7130,,7655,7810,7990,,,8355,,8065,7845,7680,7410,7450,7435,7570,7490,,,,,,,,,,8170.0,7845.0,7435.0,,,,,,,
,Medicare Supplement,,,,,,,,,,,,,,,,,,4390,,4395,4355,4355,,,4330,,4345,4355,4325,4335,4340,4335,4310,4305,,,,,,,,,,4375.0,4355.0,4335.0,,,,,,,
,Community & Senior,,,,,,,,,,,,,,,,,,17905,,18540,19055,19290,,,20275,0,20055,19895,19765,19515,19600,19615,20125,20145,,,,,,,,,,19650.0,19895.0,19615.0,,,,,,,
,Commercial Global,,,,,,,,,,,,,,,,,,5485,,5510,5500,5465,,,5385,,5475,5540,2295,1330,1335,1330,1160,1165,,,,,,,,,,5360.0,5540.0,1330.0,,,,,,,
,Part D,,,,,,,,,,,,,,,,,,3750,,3700,3360,3330,,,3355,,3355,3315,3085,3065,3055,3050,2835,2800,,,,,,,,,,3295.0,3315.0,3050.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optum Health Customers,,,,,,,,,,,,,,,,,,99,,100,100,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optum Backlog,,,,,,,,,,,,,,,,,,21.3,,22.4,22.8,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optum Rx,,,,,,,,,,,,,,,,,,342,,353,352,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&I Domestic,,,,,,,,,,,,,,,,,,14942,,,,15567,,,16759,,,,,18646,,,,,,,,,,,,,,,,,,,,,,,
,E&I Global,,,,,,,,,,,,,,,,,,2118,,,,2247,,,2325,,,,,591,,,,,,,,,,,,,,,,,,,,,,,
,Medicare & Retirement,,,,,,,,,,,,,,,,,,25304,,,,28625,,,32440,,,,,34904,,,,,,,,,,,,,,,,,,,,,,,
,Community & State,,,,,,,,,,,,,,,,,,13110,,,,15666,,,18707,,,,,19725,,,,,,,,,,,,,,,,,,,,,,,
,Optum,,,,,,,,,,,,,,,,,,38303,,,,45082,,,56344,,,,61052,62879,,,63885,67225,,,,,,,,,,,,,,,,,,,
,  Optum Health,,,,,,,,,,,,,,,,,,13300,,,,17583,,,,103,103,103,104,104,,100,99,,,,,,,,,,,,,,,,,,,,
,  Optum Insight,,,,,,,,,,,,,,,,,,2957,,,,3282,,,,31.4,31.6,32.1,32.8,32.6,,32.8,32.9,,,,,,,,,,,,,,,,,,,,
,  Optum Rx,,,,,,,,,,,,,,,,,,22524,,,,24805,,,,381,383,400,395,399,,422,408,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Premiums-Medical,,,,,,,,,,,,,,,,,,9687,,,,11803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Premiums,,,,,,,,,,,,,,,,,55486,56233,,,64070,63896,,,72786,72474,72339,73228,77988,76897,77442,76483,86534,87905,,,,,,,189699.0,201478.0,226233.0,257157.0,290827.0,308810.0,,,,,,,
,Products,,,,,,,,,,,,,,,,,8340,8433,,,9340,9496,,,10267,10651,10354,11311,11909,12211,12631,13475,13036,13564,,,,,,,31597.0,34145.0,34437.0,37424.0,42583.0,50226.0,,,,,,,
