Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,"Grapevine, TX",,,,,,,,,,Price,28.22,
,Est. 1996.,,,,,,,,,,Shares,447.083981,Q424
,,,,,,,,,,,MC,12616.709943819998,
,Game Informer,,,,,,,,,,Cash,4774.9,Q424
,Immutable X,,,,,,,,,,Debt,61.9,Q424
,,,,,,,,,,,EV,7903.709943819998,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,CEO: Matthew Furlong,,
,,,,,,,,,,,CFO: Diana Saadeh-Jajeh,,
,,,,,,,,,,,,,
,6/1/22: FYQ122 results,,,,,,,,,,,,
,9/7/22: FTX partnership,,,,,,,,https://nft.gamestop.com/,,,,
,9/7/22: FYQ222 results,,,,,,,,,,,,
,10/31/22: NFT marketplace launch with ImmutableX,,,,,,,,,,,,
