Main,Unnamed: 1,Unnamed: 2
,Brand,Tepezza
,Generic,teprotumumab
,Indication,TED
,Mechanism,IGF-1R mab
,Regulatory,FDA approval 1/21/2020
,,EMA approval 2H25
,Clinical Trials,
,,Phase III Japanese TED
,,
,,
,,Phase III subcutaneous TED
