Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,Pension,,,,,,,,,,,6152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leases,,,,,,,,,,,18741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCL,,,,,,,,,,,29426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liabilities,,,,,,,,,,,139978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,426463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,10605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,,,16246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,,,13426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bad Debts,,,,,,,,,,,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,,2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pension,,,,,,,,,,,-2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actuarial pension,,,,,,,,,,,-3838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Impairments,,,,,,,,,,,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,,,-3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,25464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,,,-15397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquisitions,,,,,,,,,,,-9959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispositions,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DirectTV,,,,,,,,,,,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,,,-23011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borrowings,,,,,,,,,,,-37825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor Financing,,,,,,,,,,,-4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buybacks,,,,,,,,,,,-847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dividends,,,,,,,,,,,-7845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,-3649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,,,-54403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,,,-51950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
