Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Effexor XR,,,,,,,,,,Price,8.32,
,,,,,,,,,,,Shares,1173.681964,Q125
,,,,,,,,,,,MC,9765.033940480002,
,,,,,,,,,,,Cash,755.0,Q125
,,,,,,,,,,,Debt,14186.0,Q125
,,,,,,,,,,,EV,23196.033940480003,
,,,,,,,,,,,,,
,,,,,,,,,,,Formed November 2020,,
,,,,,,,,,,,CEO: Michael Goettler,,
,,,,,,,,,,,CFO: Sanjeev Narula,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,11/16/2020: Upjohn (Pfizer)/Mylan merger,,
,,,,,,,,,,,1961: Mylan founded.,,
