Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Name,Founded,Summary
,Freenome,2014,Diagnostics
,CMR Surgical,,Robotics
,Fortis Life Sciences,,"Backed by Summit, various LS brands"
,New England BioLabs,,Life Sciences
