Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Installed Base,,,,,,,,,,,,7544,,,8285,8606,,,9539,9902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,-5.3999999999999995,39.2,41.3,71.30000000000001,22.5,9,80.60000000000001,73.6,36.8,99.1,78.1,58,61,73.2,106.3,0,0,123,100.4,124.1,,,,,,,,244.9,433.9,151.6,122.9,146.4,185.7,272.0,240.5,347.5,607.8510600000001,830.16015255,1102.1581396383751,1434.0144076400559,1750.9146124256786,2120.3941910181793,2435.467684191578,2786.8982754707126,3178.5324969960666,3614.6105411512594,4099.80600985689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,313.5,67.9999999999999,313.9000000000001,365.20000000000016,426.2999999999999,517.2,380.5,380.5999999999998,365.6,307.8000000000002,324.70000000000005,336.7000000000001,360.8,426.00000000000006,415.70000000000033,515.9000000000001,538.5000000000001,531.5000000000001,570.5999999999999,685.7,,,,,,,,735.9000000000002,670.9000000000002,1127.8999999999999,1379.2999999999997,1060.6,1704.5999999999995,1334.8000000000004,1718.3999999999996,2326.3000000000006,3444.4893400000005,4704.24086445,6245.5627912841255,8126.08164329365,9921.849470412179,12015.567082436351,13800.983543752274,15792.423561000707,18011.684149644378,20482.793066523805,23232.23405585571,23696.878736972827,24170.816311712282,24654.232637946527,25147.317290705458,25650.26363651957,26163.26890924996,26686.53428743496,27220.264973183657,27764.67027264733,28319.963678100277,28886.362951662282,29464.09021069553,30053.37201490944,30654.43945520763,31267.528244311783,31892.87880919802,32530.73638538198,33181.35111308962,33844.97813535141,34521.87769805844,35212.31525201961,35916.56155706,36634.8927882012,37367.590643965224,38114.94245684453,38877.24130598142,39654.78613210105,40447.88185474307,41256.839491837934,42081.976281674695,42923.61580730819,43782.088123454356,44657.72988592344,45550.884483641916,46461.90217331475,47391.14021678105,48338.96302111667,49305.74228153901,50291.85712716979,51297.69426971318,52323.64815510745,53370.121118209594,54437.523540573784,55526.27401138526,56636.79949161297,57769.53548144523,58924.92619107413,60103.42471489562,61305.49320919353,62531.6030733774,63782.23513484495,65057.879837541856,66359.0374342927,67686.21818297855,69039.94254663812,70420.74139757089,71829.15622552231,73265.73935003276
,EPS,2.6168614357262103,0.5680868838763568,2.6028192371475964,1.0052298375997801,1.1711538461538458,1.4173746231844344,1.0356559608056615,1.0359281437125745,0.9970002727024817,0.845836768342952,0.9006934812760057,1.0363188673437984,1.0134831460674159,1.1922753988245174,1.1605248464544957,1.4223876481941,1.4937586685159503,1.4722991689750695,1.573200992555831,1.8843088760648532,,,,,,,,6.241730279898221,5.768701633705935,9.494107744107744,11.542259414225938,2.919350399119185,4.6583316253330596,3.7706214689265547,4.79263701017989,6.425799323251159,9.51450684345004,12.994243117049928,17.25174446870831,22.446189194927562,27.406531235169336,33.189882141941446,38.12163122367868,43.62246684897647,49.75259760967994,56.57839394109193,64.17301030551954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,119.8,119.7,120.6,363.3,364,364.9,367.4,367.4,366.7,363.9,360.5,324.9,356,357.3,358.2,362.7,360.5,361,362.7,363.9,,,,,,,,117.9,116.3,118.8,119.5,363.3,365.92499999999995,354.0,358.55,362.025,362.025,362.025,362.025,362.025,362.025,362.025,362.025,362.025,362.025,362.025,362.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,0.1751705320600272,0.7181082032625281,0.3021248956110234,0.1667293657362121,0.15138147202228946,0.03968579234972691,0.10981258462196264,0.06725994712065542,0.14014922363379712,0.15360357400959201,0.11962244766919228,0.16513595166163153,0.11460912628227815,0.1446551625946808,0.1688363824052299,0.25162059845459717,,,,,,,,,0.1604052654932704,0.18673124721177725,0.20254014284947108,-0.026817014625432734,0.31013674743024966,0.08968319293882776,0.1449487319597571,0.17237265058042417,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1499999999999999,0.1499999999999997,0.10000000000000031,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000031,,,,Terminal,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,0.6713960891314235,0.5901889449595118,0.6720794284123597,0.673989917989617,0.6985527435956969,0.6992486338797814,0.6922254685384451,0.6840781582511123,0.6786986623647241,0.672294855791341,0.6755489919095929,0.6712386706948641,0.6561726211531659,0.6674070277350647,0.6693812008946494,0.6624487890888348,0.658732677456892,0.6829693019553211,0.6741082380648643,0.6804226227470479,,,,,,,,0.6988980919982252,0.7016761200688292,0.6992374201170721,0.6944735960701127,0.6564794419970632,0.6932453021838496,0.6743595512841117,0.6638733313681728,0.6745848349516889,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tax Rate,-0.017526777020447904,0.3656716417910451,0.11627252252252249,0.1633447880870561,0.050133689839572206,0.017103762827822118,0.17479939275645198,0.16204315279612513,0.09145129224652086,0.24354878348488562,0.19389275074478646,0.14694704839118314,0.14461830251303937,0.14663461538461536,0.20363984674329488,0,0,0.187929717341482,0.14962742175856933,0.153247715485305,,,,,,,,0.24969412724306683,0.39274076755973925,0.118483782727628,0.0818133404340301,0.12129246064623032,0.09823837486113317,0.16928055763007216,0.12277298483842976,0.1299648440421871,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,ROIC,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,218828.29688189723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,8402,8726.7,9063.400000000001,,,,,,,,8832.400000000001,,,,,,,,,,,,,,9063.400000000001,10781.800000000001,13108.100000000002,16552.589340000002,21256.83020445,27502.392995734128,35628.47463902778,45550.32410943996,57565.891191876304,71366.87473562857,87159.29829662928,105170.98244627366,125653.77551279747,148886.0095686532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
