Unnamed: 0,Unnamed: 1,Revenue,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,EPS,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Date,Q225,Q325,Q425,2025,2026,Q225,Q325,Q425,2025.0,2026.0
,2025-05-05 00:00:00,565,590,636,2330,2880,0.15,0.18,0.2,0.61,0.88
