Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,DAUs,15.8,17.1,18.4,19.1,23.6,33.4,36.2,37.1,42.1,43.2,47.3,49.5,54.1,52.2,58.8,58.8,66.1,65.5,70.2,71.5,77.7,79.5,88.9,85.3,97.8,,,,,,,,,,,,37.1,49.5,58.8,,,,,,,,,,,,,
,Unique Payers,,,,,,,,,,,,,,,,,,13.5,14.7,15.9,15.6,16.5,19.1,18.9,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,2974,3248,3730,3701,4875,8586,8711,8430,9674,9738,11184,10818,11822,11294,13399,12807,14500,14000,16000,15500,16700,17400,20700,18700,21700,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours/DAU,188.2278481012658,189.94152046783626,202.71739130434784,193.7696335078534,206.56779661016947,257.0658682634731,240.63535911602207,227.22371967654985,229.78622327790973,225.41666666666666,236.4482029598309,218.54545454545453,218.52125693160812,216.36015325670496,227.87414965986395,217.8061224489796,219.36459909228444,213.74045801526717,227.92022792022792,216.78321678321677,214.9292149292149,218.8679245283019,232.84589426321708,219.22626025791325,221.88139059304703,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABpDAU,8.98,8.78,9,12.37,10.58,14.81,13.73,17.3,15.48,15.41,13.49,15.57,11.67,12.25,11.94,15.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bookings,,,,,,,,,,,637.833,770.116,,,701.716,899.4,773.8,780.7,839.5,1126.8,923.8,955.2,1128.5,1361.6,1206.7,,,,,,,,,,,,1882.543,2725.706,2872.258,,,,,,,,,,,,,
,DUPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,725.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
