Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2021.0,2022.0,2023.0,2024.0
,Revenue,6526.1,7213.0,6507.2,5796.1,5631.3,5639.2,6046.6,6142.7,6633.2,5888.3,5634.7,7250.0,7961.0,9646.0
,COGS,6068.8,6721.6,6068.8,5406.6,5225.9,5248.1,5617.0,5724.2,6202.7,5503.6,5147.7,6600.3,7206.9,8612.3
,Gross Profit,457.3000000000002,491.39999999999964,438.39999999999964,389.5,405.40000000000055,391.09999999999945,429.60000000000036,418.5,430.5,384.6999999999998,487.0,649.6999999999998,754.1000000000004,1033.7000000000007
,SG&A,252.1,267.2,252.2,222.3,210.3,207.5,219.0,203.2,211.1,227.3,245.1,267.3,303.2,293.5
,R&D,,,,17.4,19.7,23.2,28.8,26.2,24.9,28.4,38.4,46.3,60.9,78.0
,Operating Expenses,252.1,267.2,252.2,239.70000000000002,230.0,230.7,247.8,229.39999999999998,236.0,255.70000000000002,283.5,313.6,364.09999999999997,371.5
,Operating Income,205.2000000000002,224.19999999999965,186.19999999999965,149.79999999999998,175.40000000000055,160.39999999999947,181.80000000000035,189.10000000000002,194.5,128.9999999999998,203.5,336.0999999999998,390.0000000000004,662.2000000000007
,Interest Expense,-6.9,-5.4,-3.5,-6.3,-3.1,-2.9,-24.4,-10.1,-10.0,-49.5,-31.7,-51.7,-78.9,-52.1
,Pretax Income,198.30000000000018,218.79999999999964,182.69999999999965,143.49999999999997,172.30000000000055,157.49999999999946,157.40000000000035,179.00000000000003,184.5,79.4999999999998,171.8,284.3999999999998,311.10000000000036,610.1000000000007
,Taxes,18.2,3.7,0.0,12.7,16.4,42.2,0.0,27.6,24.7,29.5,32.1,59.0,61.6,104.2
,Net Income,180.1000000000002,215.09999999999965,182.69999999999965,130.79999999999998,155.90000000000055,115.29999999999946,157.40000000000035,151.40000000000003,159.8,49.9999999999998,139.70000000000002,225.3999999999998,249.50000000000037,505.9000000000007
,EPS,0.7827031725336818,0.9853412734768651,0.8679334916864592,0.7055016181229772,0.864190687361422,0.7302089930335621,1.0938151494093145,1.0426997245179066,1.136557610241821,0.3793626707132003,1.1026045777426994,1.8236245954692543,2.0739817123857054,4.262005054759904
,Shares,230.1,218.3,210.5,185.4,180.4,157.9,143.9,145.2,140.6,131.8,126.7,123.6,120.3,118.7
,,,,,,,,,,,,,,,
,Revenue y/y,,0.10525428663367098,-0.09785110217662552,-0.1092789525448733,-0.028432911785510995,0.0014028732264308452,0.07224428997020871,0.01589322925280312,0.07985087990623008,-0.11229873967315918,-0.04306845778917523,0.2866700977869274,0.09806896551724131,0.21165682703178001
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CFFO,165.9,196.3,312.4,149.4,241.5,196.3,173.3,127.0,33.1,345.0,226.8,211.1,326.2,473.9
,CX,60.8,62.3,105.9,52.8,61.3,62.8,64.1,102.6,82.2,80.5,52.2,109.0,125.1,170.9
,FCF,105.10000000000001,134.0,206.49999999999997,96.60000000000001,180.2,133.5,109.20000000000002,24.400000000000006,-49.1,264.5,174.60000000000002,102.1,201.1,303.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CSCO,,,,,,,,0.18,0.14,0.12,,,,
,DELL,,,,,,,,,0.1,,,,,
,JNPR,,,,,,,,0.13,,,,,,
