Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Diseases,,
,,ALL,
,,CLL,
,,CML,
,,DLBCL (diffuse large B-cell lymphoma),
,,,"31,000 incidence US"
,,,"163,000 incidence WW"
,,Follicular Lymphoma,
,,,"slow-growing form of NHL, 20-30% of NHL. Can transform to DLBCL"
,,,"13,100-15,000 new patients/year US"
,,,"120,000 incidence WW"
,,Hodgkin's Lymphoma,
,,Multiple Myeloma,
,,Non-Hodgkin's Lymphoma,
,,,basket indication including FL and DLBCL
,Drugs,,
,Patents,,
,Proteins,,
