Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2021.0,2022.0,2023.0,2024.0
,GPV,,,,,,,,,,26.7,32.1,33.7,33.7,34.7,40.5,43.5,46.5,,,,91.7,126.1,165.2
,Locations,,,,,,,,,,,,99,106,,120,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Subscription,,,,,,,,,95,107,,131,142,151,166,176,186,,,169.0,324.0,500.0,679.0
,Tech,,,,,,,,,640,673,,856,851,873,1023,1073,1123,,,1406.0,2268.0,3189.0,4092.0
,Hardware,,,,,,,,,34,39,,45,43,51,53,53,53,,,130.0,139.0,176.0,210.0
,Revenue,236.8,282.0,426.0,486.0,511.0,535,675,752,769,819,978,1032,1036,1075,1242,1302,1362,,,1705.0,2731.0,3865.0,4981.0
,COGS,188.4,213.0,337.0,403.0,438.0,446,562,601,611,645,770,806,810,826,956,1002.54,1048.74,,,1391.0,2220.0,3031.0,3833.2799999999997
,Gross Profit,48.3,69.0,89.0,83.0,73.0,89,113,151,158,174,208,226,226,249,286,299.46000000000004,313.26,,,314.0,511.0,834.0,1147.7200000000003
,S&M,,,,,,,,,87,99,100,100,102,107,115,100,102,,,190.0,319.0,401.0,424.0
,R&D,34.3,23.0,50.0,40.0,50.0,62,67,74,79,85,92,87,94,83,87,87,87,,,163.0,282.0,358.0,344.0
,G&A,,,,,,,,,91,82,96,98,86,74,75,75,75,,,189.0,294.0,362.0,299.0
,Operating Expenses,87.0,74.0,140.0,138.0,190.0,190,212,236,257,266,288,285,282,264,277,262,264,,,542.0,895.0,1121.0,1067.0
,Operating Income,20.5,19.0,49.0,42.0,79.0,57,68,78,-99,-92,-80,-59,-56,-15,9,37.460000000000036,49.25999999999999,,,-228.0,-384.0,-287.0,80.72000000000025
,Interest Income,-23.8,-94.0,-88.0,-199.0,119.0,78,45,-17,9,11,9,10,13,-26,10,10,10,,,-12.0,11.0,37.0,4.0
,Pretax Income,,,,,,,,,-90,-81,-71,-49,-43,-41,19,47.460000000000036,59.25999999999999,,,-240.0,-373.0,-250.0,84.72000000000025
,Taxes,0.1,0.0,-4.0,0.0,1.0,0,0,-4,2,0,1,0,1,1,0,0,0,,,-3.0,-2.0,2.0,1.0
,Net Income,-62.6,-99.0,-135.0,-254.0,1.0,-23,-54,-98,-92,-81,-72,-49,-44,-42,19,47.460000000000036,59.25999999999999,,,-237.0,-371.0,-252.0,83.72000000000025
,EPS,,,,,,,,,-0.17726396917148363,-0.15428571428571428,-0.13610586011342155,-0.09129529762683444,-0.08133086876155268,-0.07678244972577697,0.03236797274275979,0.08085178875638847,0.100954003407155,,,-0.8172413793103448,-0.724609375,-0.4727954971857411,0.14509532062391725
,Shares,,,,,,,,,519,525,529,536.719867,541,547,587,587,587,,,290.0,512.0,533.0,577.0
,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,0.4488888888888889,0.37234042553191493,0.3472041612483745,0.3125763125763126,0.26993865030674846,,,,,,0.6017595307917889,0.4152325155620651,0.288745148771022
,Gross Margin,,,,,,,,0.20079787234042554,0.20546163849154747,0.21245421245421245,0.21267893660531698,0.2189922480620155,0.21814671814671815,0.23162790697674418,0.23027375201288244,0.23000000000000004,0.22999999999999998,,,0.1841642228739003,0.18711094837056022,0.21578266494178525,0.23041959445894403
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,-69,-19,-55,50,47,92,-20,124,,,,,2.0,-156.0,135.0,104.0
,CapEx,,,,,,,,-6,-10,-10,-11,0,-11,-13,-16,,,,,-19.0,-33.0,-42.0,-29.0
,FCF,,,,,,,,-75,-29,-65,39,47,81,-33,108,,,,,-17.0,-189.0,93.0,75.0
