UTC Date,PFE,NVO,LLY,NVS,AMGN,MRK,GSK,SNY,BMY,AZN,PFE LN,NVO LN,LLY LN,NVS LN,AMGN LN,MRK LN,GSK LN,SNY LN,BMY LN,AZN LN,PFE-NVO,PFE-LLY,PFE-NVS,PFE-AMGN,PFE-MRK,PFE-GSK,PFE-SNY,PFE-BMY,PFE-AZN,NVO-LLY,NVO-NVS,NVO-AMGN,NVO-MRK,NVO-GSK,NVO-SNY,NVO-BMY,NVO-AZN,LLY-NVS,LLY-AMGN,LLY-MRK,LLY-GSK,LLY-SNY,LLY-BMY,LLY-AZN,NVS-AMGN,NVS-MRK,NVS-GSK,NVS-SNY,NVS-BMY,NVS-AZN,AMGN-MRK,AMGN-GSK,AMGN-SNY,AMGN-BMY,AMGN-AZN,MRK-GSK,MRK-SNY,MRK-BMY,MRK-AMGN,GSK-SNY,GSK-BMY,GSK-AZN,SNY-BMY,SNY-AZN,BMY-AZN
Average,,,,,,,,,,,,,,,,,,,,,-0.0005810314906244607,-0.0015675593333139908,-0.0007413739430878624,-0.0005338377308896033,-0.00027014990700645683,-0.00015206421635772006,-0.0006150984465309401,-0.001159398855499843,-0.0005434403364695279,-0.0009865278426895302,-0.00016034245246340152,4.719375973485687e-05,0.0003108815836180041,0.0004289672742667407,-3.406695590647913e-05,-0.0005783673648753817,3.7591154154933284e-05,0.0008261853902261282,0.0010337216024243867,0.0012974094263075344,0.00141549511695627,0.0009524608867830503,0.0004081604778141466,0.001024118996844462,0.00020753621219825915,0.00047122403608140513,0.0005893097267301425,0.00012627549655692226,-0.0004180249124119802,0.00019793360661833466,0.0002636878238831471,0.00038177351453188386,-8.126071564133659e-05,-0.0006255611246102402,-9.602605579924067e-06,0.00011808569064873653,-0.000344948539524483,-0.0008892489484933848,-0.0002732904294630713,-0.0004630342301732207,-0.0010073346391421217,-0.0003913761201118077,-0.0005443004089689031,7.165811006141294e-05,0.0006159585190303173
STDEV,,,,,,,,,,,,,,,,,,,,,0.024142752059036352,0.02442472957062396,0.016402531996791512,0.01863650237023861,0.019105399458573286,0.017301964700557063,0.01793992761772329,0.01940613938766484,0.018383704044315732,0.017231632045876806,0.020484578622147746,0.022548714475690814,0.02240201636201091,0.021197483357125114,0.021929977352713532,0.02614238783909108,0.020872907378318928,0.020297103224514668,0.023361977398904086,0.02087435173070341,0.021030068299718045,0.022860986138804017,0.026738073243712458,0.020793787226395306,0.017230480864225566,0.015116746150294869,0.013688896303389656,0.013075559117507818,0.019196653648635258,0.012047970896519464,0.018898485847376707,0.018660594404945836,0.01913673533205319,0.021362593141993135,0.018839214016803763,0.016695590082903906,0.016665809041059985,0.021392346678756637,0.015644740386713585,0.015673192308760044,0.02054338895261739,0.015489377190157845,0.021639299274499372,0.014647094107175022,0.02148290050198371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02 00:00:00,25.8,108.66,797.92,104.68,277.93,100.81,34.23,47.96,60.05,67.36,-0.015766525407743204,0.01726581459728245,0.0032260724534428392,-0.01035884767801631,-0.017618144722789848,-0.008199601386113097,0.002925689623478022,-0.010990260957947447,0.01391822585254725,-0.003852427345668675,-0.033032340005025654,-0.018992597861186043,-0.005407677729726893,0.0018516193150466438,-0.007566924021630107,-0.018692215031221225,-0.004776264449795757,-0.02968475126029045,-0.01191409806207453,0.014039742143839611,0.02762466227529876,0.034883959320072294,0.025465415983395547,0.014340124973804429,0.028256075555229895,0.003347588744735201,0.021118241942951126,0.01358492013145915,0.020844217176232686,0.011425673839555936,0.00030038282996481744,0.014216333411390286,-0.01069215339910441,0.007078499799111514,0.007259297044773537,-0.0021592462919032135,-0.013284537301494332,0.0006314132799311364,-0.02427707353056356,-0.006506420332347636,-0.00941854333667675,-0.02054383434626787,-0.0066278837648424006,-0.0315363705753371,-0.013765717377121173,-0.011125291009591119,0.00279065957183435,-0.022117827238660348,-0.004347174040444423,0.013915950581425468,-0.010992536229069228,0.006778116969146697,-0.024908486810494696,-0.0071378336122787725,0.017770653198215924
"Fri, 29 Nov 2024 00:00:00 GMT",26.21,106.8,795.35,105.77,282.87,101.64,34.13,48.49,59.22,67.62,0.014604410227566022,0.006293168752363425,0.009043091799193423,0.008545437493647622,0.009947856221238694,-0.014456200178968608,-0.005842844550984836,-0.004732032284380627,-0.0008439531263016558,0.006230549750636163,0.008311241475202596,0.005561318428372599,0.006058972733918399,0.004656554006327328,0.02906061040653463,0.020447254778550857,0.019336442511946647,0.015448363353867678,0.008373860476929859,-0.002749923046829998,-0.002252268741284197,-0.0036546874688752687,0.020749368931332033,0.01213601330334826,0.011025201036744052,0.0071371218786650805,6.26190017272623e-05,0.0004976543055458006,-0.0009047644220452709,0.02349929197816203,0.014885936350178259,0.01377512408357405,0.00988704492549508,0.00281254204855726,-0.0014024187275910715,0.023001637672616232,0.014388282044632458,0.01327746977802825,0.009389390619949279,0.0023148877430114595,0.0244040564002073,0.01579070077222353,0.014679888505619321,0.01079180934754035,0.003717306470602531,-0.008613355627983772,-0.00972416789458798,-0.013612247052666952,-0.020686749929604772,-0.0011108122666042084,-0.00499889142468318,-0.012073394301620998,-0.0038880791580789714,-0.01096258203501679,-0.007074502876937818
"Wed, 27 Nov 2024 00:00:00 GMT",25.83,106.13,788.19,104.87,280.07,103.12,34.33,48.72,59.27,67.2,0.0023255824434754366,0.0,-0.0014326377560489772,0.01015918264115983,0.00021425510723294892,0.014652992465346047,0.00907102050188492,0.009072227172310859,0.00898235002927279,0.012578782206860185,0.0023255824434754366,0.003758220199524414,-0.007833600197684393,0.0021113273362424875,-0.01232741002187061,-0.006745438058409483,-0.006746644728835422,-0.006656767585797354,-0.010253199763384749,0.0014326377560489772,-0.01015918264115983,-0.00021425510723294892,-0.014652992465346047,-0.00907102050188492,-0.009072227172310859,-0.00898235002927279,-0.012578782206860185,-0.011591820397208807,-0.001646892863281926,-0.016085630221395024,-0.010503658257933897,-0.010504864928359836,-0.010414987785321768,-0.014011419962909163,0.009944927533926881,-0.004493809824186217,0.0010881621392749095,0.0010869554688489706,0.0011768326118870385,-0.002419599565700356,-0.014438737358113098,-0.008856765394651972,-0.00885797206507791,-0.008768094922039843,-0.012364527099627237,0.005581971963461127,0.005580765293035188,0.005670642436073256,0.002074210258485861,-1.2066704259388467e-06,8.867047261212901e-05,-0.0035077617049752655,8.987714303806786e-05,-0.0035065550345493267,-0.0035964321775873945
"Tue, 26 Nov 2024 00:00:00 GMT",25.77,106.13,789.32,103.81,280.01,101.62,34.02,48.28,58.74,66.36,-0.015402691877780846,0.014903688457764632,0.04445406605220041,0.0026042937313987317,-0.04875445052145767,0.004536944363821514,-0.0038139990490832607,-0.001448825669972604,-0.0006807352202972319,-0.0006025911601445004,-0.030306380335545478,-0.059856757929981255,-0.018006985609179578,0.03335175864367683,-0.01993963624160236,-0.011588692828697586,-0.013953866207808242,-0.014721956657483614,-0.014800100717636346,-0.02955037759443578,0.0122993947263659,0.0636581389792223,0.010366744093943118,0.018717687506847894,0.016352514127737236,0.015584423678061864,0.015506279617909131,0.04184977232080168,0.09320851657365808,0.039917121688378895,0.048268065101283675,0.04590289172217302,0.045134801272497645,0.04505665721234491,0.05135874425285641,-0.0019326506324227823,0.006418292780481992,0.0040531194013713355,0.0032850289516959635,0.003206884891543232,-0.05329139488527919,-0.04494045147237441,-0.04730562485148507,-0.04807371530116044,-0.04815185936131317,0.008350943412904774,0.005985770033794118,0.005217679584118746,0.0051395355239660144,-0.002365173379110657,-0.003133263828786029,-0.00321140788893876,-0.0007680904496753722,-0.0008462345098281036,-7.814406015273147e-05
"Mon, 25 Nov 2024 00:00:00 GMT",26.17,104.56,755.0,103.54,294.0,101.16,34.15,48.35,58.78,66.4,0.020070144925276034,-0.004770546209849004,0.0093014023799543,-0.007121577591545609,-0.001801098136967127,0.019767040740776582,0.005579224573652543,0.0014488256699726498,-0.0015299620493986225,0.011664147996756878,0.024840691135125038,0.010768742545321735,0.027191722516821643,0.02187124306224316,0.0003031041844994524,0.014490920351623492,0.018621319255303383,0.021600106974674658,0.008405996928519156,-0.014071948589803304,0.002351031381696605,-0.002969448072881877,-0.024537586950625585,-0.010349770783501546,-0.006219371879821654,-0.0032405841604503816,-0.01643469420660588,0.01642297997149991,0.011102500516921427,-0.010465638360822283,0.0037221778063017564,0.00785257670998165,0.01083136442935292,-0.002362745616802579,-0.005320479454578482,-0.02688861833232219,-0.012700802165198151,-0.00857040326151826,-0.0055916155421469865,-0.018785725588302486,-0.021568138877743708,-0.00738032271061967,-0.0032499238069397768,-0.0002711360875685045,-0.013465246133724004,0.01418781616712404,0.01831821507080393,0.021297002790175205,0.008102892744019704,0.0041303989036798935,0.007109186623051165,-0.006084923423104335,0.0029787877193712723,-0.010215322326784229,-0.013194110046155502
"Fri, 22 Nov 2024 00:00:00 GMT",25.65,105.06,748.01,104.28,294.53,99.18,33.96,48.28,58.87,65.63,0.020481220061277672,0.023401327868192608,-0.002550187305325557,0.004132038743179658,0.015844829548039036,-0.006832824011475379,0.007685524084830416,0.006233138817782339,0.010930937191141328,0.021095554797918834,-0.002920107806914936,0.02303140736660323,0.016349181318098014,0.004636390513238636,0.02731404407275305,0.012795695976447256,0.014248081243495333,0.009550282870136343,-0.0006143347366411624,0.025951515173518167,0.01926928912501295,0.007556498320153572,0.030234151879667985,0.01571580378336219,0.017168189050410267,0.01247039067705128,0.0023057730702737735,-0.006682226048505215,-0.018395016853364594,0.004282636706149822,-0.010235711390155973,-0.008783326123107896,-0.013481124496466886,-0.02364574210324439,-0.011712790804859378,0.010964862754655037,-0.0035534853416507584,-0.0021011000746026815,-0.006798898447961671,-0.016963516054739176,0.022677653559514413,0.00815930546320862,0.009611690730256696,0.004913892356897707,-0.005250725249879799,-0.014518348096305795,-0.013065962829257718,-0.017763761202616708,-0.027928378809394215,0.0014523852670480768,-0.0032454131063109123,-0.013410030713088418,-0.004697798373358989,-0.014862415980136495,-0.010164617606777506
"Thu, 21 Nov 2024 00:00:00 GMT",25.13,102.63,749.92,103.85,289.9,99.86,33.7,47.98,58.23,64.26,0.007589411303610287,-0.02539819060561046,-0.0046430341571242414,0.007345157213827878,0.007027046587184668,0.02453240111087634,0.010440064996683422,0.004177115513885019,0.006028784085745266,0.01663305253490075,0.032987601909220746,0.012232445460734528,0.0002442540897824091,0.0005623647164256186,-0.016942989807266055,-0.002850653693073135,0.003412295789725268,0.0015606272178650214,-0.009043641231290464,-0.020755156448486217,-0.032743347819438336,-0.03242523719279513,-0.0499305917164868,-0.03583825560229388,-0.02957530611949548,-0.031426974691355726,-0.04203124314051121,-0.011988191370952118,-0.011670080744308909,-0.029175435268000583,-0.015083099153807664,-0.008820149671009261,-0.010671818242869507,-0.021276086692024992,0.00031811062664320947,-0.017187243897048465,-0.0030949077828555443,0.003168041699942859,0.0013163731280826122,-0.009287895321072874,-0.017505354523691674,-0.003413018409498754,0.0028499310732996493,0.0009982625014394028,-0.009606005947716083,0.01409233611419292,0.02035528559699132,0.018503617025131078,0.00789934857597559,0.006262949482798403,0.0044112809109381566,-0.006192987538217329,-0.0018516685718602465,-0.012455937021015731,-0.010604268449155485
