Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,Price,34.0,
,,,,,Shares,3771.578226,Q424
,,,,,MC,128233.659684,
,,,,,Cash,15236.0,Q224
,,,,,Debt,98128.0,Q224
,,,,,EV,211125.659684,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,USA Network,71 ,General entertainment and sports,,,,
,Syfy,71 ,Genre-based entertainment,,,,
,E!,71 ,Entertainment and pop culture,,,,
,MSNBC,70 ,"News, political commentary and information",,,,
,Bravo,70 ,Lifestyle entertainment,,,,
,CNBC,70 ,Business and financial news,,,,
,Oxygen,64 ,True crime,,,,
,Golf Channel,59 ,Golf competition and golf entertainment,,,,
,Universal Kids,47 ,Children’s entertainment,,,,
,Universo,21 ,Spanish-language entertainment,,,,
,CNBC World,18 ,Global financial news,,,,
