Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,,,,,,,,,,,,,,
,Yen (B),2021-03-31,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,,,2019-03-31,2020-03-31,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31,2026-03-31,2027-03-31,2028-03-31,2029-03-31,2030-03-31,2031-03-31,2032-03-31
,Lixiana JP,,22.9,21.9,25.6,22,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Savaysa,,0.5,0.5,0.4,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lixiana EU,,23.4,23.7,27.2,22.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,2.7,3.6,3.8,4.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edoxaban ex-JP,,49.5,49.699999999999996,57,49.300000000000004,58.900000000000006,58.4,65.9,60.8,5.800000000000004,6.800000000000004,6.700000000000003,6.599999999999994,8,,,,,,,,205.6,244,287.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enhertu US,,9.6,10.1,11.9,13.8,20,,,,,,,,,,,,,,,,45.4,144.6,225.5,,,,,,,,,
,Enhertu EU,,1.2,1.4,2.3,4.1,6.7,,,,,,,,,,,,,,,,,37.1,101.9,,,,,,,,,
,Enhertu JP,,2.2,2.2,2.6,2.6,2.4,,,,,,,,,,,,,,,,,11.7,23.9,,,,,,,,,
,Enhertu Other,,0,0,0,1.4,2.2,,,,5.3,5.8,6.2,6.2,7.0,,,,,,,,,14.2,44.6,,,,,,,,,
,Enhertu ex-JP,,13,13.7,16.8,21.9,31.299999999999997,48.2,60.2,67.8,82.19999999999999,90.5,104.10000000000001,148.60000000000002,127.00000000000001,,,,,,,,80.8,258.4,449.2,425.40000000000003,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
