Main,Unnamed: 1,Unnamed: 2
,Brand,ALKS4230
,Generic,nemvaleukin
,Indication,Mucosal Melanoma
,MOA,IL-2
,Clinical Trials,
,,Phase I/II ARTISTRY-1 IV with Keytruda
,,
,,Phase I/II ARTISTRY-2 subcutaneous with Keytruda
,,
,,"Phase II ""ARTISTRY-3"" IV monotherapy"
