Main,Unnamed: 1,Unnamed: 2
,Brand,Dupixent
,Generic,dupilumab
,Indications,"Asthma, Atopic Dermatitis, CRwNP, Eosinophilic Esophagitis, PN, COPD, BP, CSU"
,,COPD launch initiated Q424
,,"CSU - sBLA resubmitted Q424, 4/18/25 PDUFA"
,Patients,>1m as of Q324
,Regulatory,COPD FDA approval Q324
,,CRwNP FDA approval Q219
,,
,,
,,
,,
,,
,,
,,
,,
,,"Phase III ""EoE KIDS"" - NCT04394351"
,,
,,
,,
,,"Phase III ""STYLE1"" lichen simplex chronicus - NCT06687967"
,,initiated Q424
,,
,,"Phase III ""STYLE2"" lichen simplex chronicus - NCT06687980"
,,initiated Q424
