Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0
,PDAC,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
,Share,0.1,0.3,0.5,0.55,0.6,0.65,0.7,0.75,0.75,0.75,0.75,0.75,0.75
,Patients,6000.0,18000.0,30000.0,33000.0,36000.0,39000.0,42000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0
,Price,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0
,Revenue,720.0,2160.0,3600.0,3960.0,4320.0,4680.0,5040.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0
,COGS,72.0,216.0,360.0,396.0,432.0,468.0,504.0,540.0,540.0,540.0,540.0,540.0,540.0
,Gross Profit,648.0,1944.0,3240.0,3564.0,3888.0,4212.0,4536.0,4860.0,4860.0,4860.0,4860.0,4860.0,4860.0
,SG&A,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
,Operating Profit,148.0,1444.0,2740.0,3064.0,3388.0,3712.0,4036.0,4360.0,4360.0,4360.0,4360.0,4360.0,4360.0
,Taxes,22.2,216.6,411.0,459.59999999999997,508.2,556.8,605.4,654.0,654.0,654.0,654.0,654.0,654.0
,Net Income,125.8,1227.4,2329.0,2604.4,2879.8,3155.2,3430.6,3706.0,3706.0,3706.0,3706.0,3706.0,3706.0
,,,,,,,,,,,,,,
,Discount,0.1,,,,,,,,,,,,
,NPV,18269.671775347473,,,,,,,,,,,,
,Share,96.66493002829351,,,,,,,,,,,,
