Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Brand,,,,,,,,,,Price,63.69,
,Enhanze,,,,,,,,,,Shares,126.678,Q224
,Hylenex,,,,,,,,,,MC,8068.121819999999,
,Xyosted (testosterone),,,,,,,,,,Cash,529.03,Q224
,Tlando (testosterone,,,,,,,,,,Debt,1502.515,Q224
,Nocdurna,,,,,,,,,,EV,9041.606819999999,
,Tecentriq,,,,,,,,,,,,
,Hyqvia,,,,,,,,,,,,
,efgartigimod,,,,,,,,,,,,
,Herceptin,,,,,,,,,,,,
,Phesgo,,,,,,,,,,,,
,Darzalex,,,,,,,,,,,,
,Tepezza,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,5/24/22: acquired Antares,,,,,,
