Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Name,Indication,MOA,Approved,,,,,,,Price,14.0,
,Danyelza (naxitamab),Neuroblastoma,GD2 mab,,,,,,,,Shares,44.567334,Q224
,,,,,,,,,,,MC,623.942676,
,,,,,,,,,,,Cash,99.997,Q224
,GD2-SADA,,,,,,,,,,Debt,0.0,Q224
,,,,,,,,,,,EV,523.945676,
