Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Trial,Phase,GEO,n,Pop,Time,Result
,EFC5374,3,EU,280,Depression,6 wks,Positive
,EFC5379,3,,,,,Negative
,,,,,,,
,,,,,,,
,,,,,,,
,B3 agonist for depression,,,,,,
