Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,2024-03-31 00:00:00,2025-03-31 00:00:00
,Mining,111.044,105.236
,HPC,3.421,10.043
,Revenue,114.465,115.279
,Operating,76.308,88.159
,HPC,0.635,1.972
,COGS,76.94300000000001,90.131
,Gross Profit,37.52199999999999,25.147999999999996
,SG&A,13.204,16.648
,Operating Income,24.31799999999999,8.499999999999996
,Interest,0,0
,Pretax Income,24.31799999999999,8.499999999999996
,Taxes,0,0
,Net Income,24.31799999999999,8.499999999999996
,EPS,0.2701846054815898,0.06643605747144159
,Shares,90.005128,127.942571
,,,
,,,
,CFFO,9.64,16.634
,CX,63.355,120.733
,FCF,-53.714999999999996,-104.099
