Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,Phase,Economics,,,,Price,5.3,
,AAV-GAD,Parkinson's,III,,,,,Shares,79.032341,Q115
,AAV-RPGR (Botaretigene sparoparvovec),RP,failed,JNJ,,,,MC,418.8714073,
,AAV-AIPL1,LCA4,Filing?,,,,,Cash,266.5,Q115
,AAV5-RDH12,RDH12 retinal dystrophy,,,,,,Debt,75.0,Q115
,AAV8-RK-BBS10,Bardet-Biedl syndrome,,,,,,EV,227.3714073,
,AAV2-hAQP1,xerostomia,II,"100%, investing heavily",,,,,,
,,obesity,FIH 2025,SNY ROFR,,,,PPE,104.408,Q115
,,,,,,,,PIC,780.165,Q115
,,,,,,,,AD,742.003,Q115
,,,,,,,,,,
,,,,,,,Founded: 2015,,,
,,,,,,,2023: sold AAV-RPGR to JNJ for 65m.,,,
,,,,,,,"2019: JNJ collaboration, paid $100m upfront.",,,
