Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,Mechanism,Rights,Admin,Approved,,Price AUD,307.0,
,Carimune,CIPD,IVIG,,,,,Shares,485.199307,Q224
,Gamunex,CIPD,IVIG,,,,,MC AUD,148956.18724899998,
,Gardasil,HPV,Vaccine,MRK,,,,Cash USD,1820.0,Q224
,Hizentra,CIPD,20% IG,,subcutaneous,,,Debt USD,12183.0,Q224
,Helixate FS,Hemophilia A,rFVIII,,,,,EV AUD,159319.18724899998,
,Helixate NexGen,Hemophilia A,rFVIII,,,,,EV USD,106212.79149933333,
,Fluvax,Influenza,Vaccine,Australia,,,,,,
,Fluad,Influenza,Vaccine,,,,,,,
,Flucelvax,Influenza,Vaccine,,,,,,,
,Foclivia/Focetria,H5N1 Influenza,Vaccine,,,,,,,
,Audenz,H5N1 Influenza,Vaccine,,,,,,,
,Haegarda,HAE,C1 Esterase,,subcutaneous,,,,,
,Privigen,CIPD,10% IG,,IV,,,,,
,pdCoag,,,,,,,CEO: Paul Perreault,,
,Humate-P,,,,,,,Vifor acquisition,,
,Haemate P,,,,,,,,,
,Biostate,,,,,,,,,
,Afstyla,Haemophilia A,rFVIII,,,,,,,
,Zemaira/Respreeza,AAT,alpha1-antitrypsin,,,,,,,
,Monoclate-P,,,,,,,,,
,Idelvion,Haemophilia B,rFIX,,,,,,,
,Beriate P,,,,,,,,,
,,,,,,Phase,,,,
,garadacimab,"ILD, HAE",FXIIa,,,,,,,
,CSL324,Hidradenitis Suppurativa,G-CSFR mab,,,,,,,
,CSL730,,Fc multimer,,,,,,,
,CSL964,GvHD,alpha1-antitrypsin,,,,,,,
,clazakizumab,antibody-mediated rejection,IL-6,,,,,,,
,Etranacogene dezaparvovec,Hemophilia B,rFIX gene therapy,,,,,,,
,Kcentra,Trauma,prothrombin,,,,,,,
,CSL889 (hemopexin),Sickle Cell Disease,,,,,,,,
,trabikibart,Asthma,anti-beta common mab,,,,,,,
,CSL787,Non-CF Bronchiectasis,nebulized IG,,,,,,,
,CSL112,Apolipoprotein A-I,ACS,,,,,,,
,CSL346,DKD,VEGFB mab,,,,,,,
,eblasakimab,Atopic Dermatitis,IL-13R mab,,,,,,,
,mavrilimumab,"GCA, RA",GM-CSF,,,,,,,
,aQIVc,Influenza,quadrivalent,,,,,,,
