Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name,Indication,,,,,Price,12.0,
,rezpegaldesleukin,Atopic Dermatitis,,,,,Shares,12.406903866666665,Q125
,NKTR-0165,TNFR2 mab,,,,,MC,148.88284639999998,
,NKTR-422,CSF-1,,,,,Cash,220.651,Q125
,NKTR-255,R/R LBCL,,,,,Debt,0.0,Q125
,,,,,,,EV,-71.76815360000003,
,,,,,,,,,
,,,,,,,PIC,3663.772,Q125
,,,,,,,AD,3647.092,Q125
