Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Approved,MOA,Economics,Administration,IP,,Price,223.15,
,Humira (adalimumab),"RA, PSO, CD, UC, PsA, HS, Uveitis, AS",2002-12-31 00:00:00,TNF,1,Subcutaneous,2024,,Shares,1771.0,Q225
,Botox (onabotulinumtoxinA),"Aesthetics, Cervical Dystonia",1991-12-09 00:00:00,Botulinim,1,Subcutaneous,Unclear,,MC,395198.65,
,Imbruvica (ibrutinib),"CLL, GvHD, WM",2013-11-13 00:00:00,BTK C481,JNJ,Oral,2027-06-28 00:00:00,,Cash,6777.0,Q225
,Skyrizi (risankizumab),"Psoriasis, PsA, Crohn's, UC",2019-04-23 00:00:00,IL-23,BI?,Subcutaneous,Biologic,,Debt,70481.0,Q225
,Rinvoq (upadacitinib),"RA, axSpA, AD, PsA, Crohn's, UC",2022-03-16 00:00:00,JAK,1,Oral,2030+,,EV,458902.65,
,Venclexta (venetoclax),"CLL, AML",2016-04-11 00:00:00,BCL-2,Roche,Oral,2030-2033,,,,
,Lupron Depot (leuprolide),CRPC,1989-01-26 00:00:00,,100%? Takeda?,IM,,,,,
,Synthroid (levothyroxine),Hypothyroidism,2002-07-24 00:00:00,,US only,Oral,,,,,
,Creon,Pancreatic Insufficiency,,,US only,Oral,,,,,
,Duodopa (carbidopa/levodopa),Parkinson's Disease,,,,,,,CEO: Robert Michael succeeded Richard Gonzalez.,,
,Qulipta (atogepant),Migraine,,CGRP,1,Oral,,,CFO: Robert A. Michael,,
,Elahere (mirvetuximab soravtansine),Ovarian Cancer,,FRalpha ADC,,IV,,,SVP Discovery: Jonathon Sedgwick,,
,Emrelis (telisotuzumab vedotin),NSCLC,,cMet ADC,,IV,,,Hematology: Mariana Cota Stirner,,
,Vuity (pilocarpine),Presbyopia,,,,Eyedrop,,,Ophthalmology: Michael Robinson,,
,Epkinly (epcoritamab),DLBCL,2023-05-19 00:00:00,CD3xCD20,GMAB,IV,,,CSO: Roopal Thakkar,,
,"Juvederm, Volux XC, Voluma XC","Jawline Aesthetics, Temple Hollowing",,Dermal HA Filler,,,,,Aesthetics: Sara Sangha,,
,Vyalev (foscarbidopa/foslevodopa),Parkinson's Disease,"CRL, approved in EU",Dopamine,1,,,,Immunology: Andrew Anisfeld,,
,Vraylar (cariprazine),"Schizophrenia, Bipolar",,,,Oral,,,,,
,,,Phase,,,,,,,,
,ABBV-400 (telisotuzumab adizutecan),"mCRC, NSCLC, GEA",II,cMet ADC (different ADC),,,,,Acquisitions,,
,tavapadon,Parkinson's Disease,Filing,D1/D5 partial agonist,,Oral,,,Alpine,,
,emraclidine,Schizophrenia,II,M4 PAM,,Oral,,,Allergan,,
,BoNTE (AGN-151586),Glabellar Lines,III,,,,,,Capstan,,
,ABBV-383 (etentamig),Multiple Myeloma,III,BCMA/CD3,,,,,,,
,ABBV-RGX-314,"AMD, DR",III,VEGF mab gene therapy,RGNX,intravitreal,,,,,
,ABT-981 (lutikizumab),"HS,UC (was OA)",III,IL-1a/1b,1,,,,Early Stage Collaborations,,
,ABBV-157,Psoriasis,II,RORgammaT,1,,,,ADARx Pharmaceuticals - siRNA,,
,ABBV-105,SLE,II,BTK,1,,,,,,
,elsubrutinib ABBV-599 (-105+Rinvoq),SLE,II,BTK+JAK,1,,,,,,
,ABBV-101,,I,BTK,,,,,,,
,ABBV-382,,II,alpha4beta7,1,,,,,,
,ABBV-668,Autoimmune,II,RIPK1,1,,,,,,
,ALPN-101,SLE,II,CD28/ICOS,ALPN,,,,,,
,ABBV-0805,Parkinson's Disease,I,alpha-synuclein,1,,,,,,
,ABBV-1088,Parkinson's Disease,I,PINK1,1,,,,,,
,ABBV-8736,IBD,I,TREM1 mab,1,,,,,,
,ABBV-181 (budigalimab),Oncology,II,PD-1,1,,,,,,
,ABBV-151 (livmoniplimab),Oncology,II,GARP-TGF-B1,,,,,,,
,ABBV-113 (NX-13),UC/Crohn's,,NLRX1 agonist,Acquired Landos,,,,,,
,FG-M701,IBD,,TL1A mab,FutureGen,,,,,,
,CEL383,,I,TREM1 mab,Acquired Celsius,,,,,,
,pivekimab sunirine,"AML, BPDCN",II,CD123 ADC,,,,,,,
,ABBV-552,Alzheimer's,II,SV2A,,,,,,,
,ALIA-1758,Alzheimer's,II,3pE-Abeta mab with BBB crossing,acquired Aliada,,,,,,
,ABBV-932,"Bipolar, GAD",I,D3,Gedeon Richter,,,,,,
,razpipadon (CVL-871),Dementia Apathy,II,D1/D5 partial agonist,,,,,,,
,CVL-354 (icalcaprant),Depression,I,KOR,,,,,,,
,darigabat,"Panic Disorder, Focal Epilepsy",II,GABA-A receptor,1,,,,,,
,AL002,Alzheimer's,II,TREM2,Alector,,,,,,
,elezanumab,"Stroke, SCI",II,RGMa,,,,,,,
,ABBV-CLS-7262 (fosigotifator),"ALS, VWM",II,eIF2B,Calico,,,,,,
,CUG-252,SLE,I,IL-2,Cugene,,,,,,
,OpSCF,Atopic Dermatitis,II,SCF248 mab,Opsidio,,,,,,
,CLF065,IBD/SBS,II,GLP2R agonist,Scripps,,,,,,
,ABT-414,GBM,,,,,,,,,
,ABBV-969,mCRPC,I,PSMA/STEAP1 ADC,,,,,,,
,ISB 2001,Multiple Myeloma,I,CD3xBCMAxCD38,Ichnos Glenmark - 750m upfront!,,,,,,
,ABBV-323 (ravagalimab),,I,,,SC,,,,,
,ABBV-CLS-484,,I,PTPN2,Calico,,,,,,
,ABBV-CLS-616,,I,,,,,,,,
,GUB014295,T2D,I,amylin analog,,,,,,,
,ABBV-787,AML,I,,,,,,,,
,ABBV-706,"SCLC, NENs",I,SEZ6 ADC,,,,,,,
,DJS-002,IPF,I,LPAR1 mab,1,,,,,,
,ABT-888 (veliparib),Ovarian Cancer,II,PARP,1,,,,,,
,AGN-193408,"Ocular Hypertension, Glaucoma",II,Prostaglandin,1,,,,,,
,ABBV-514,,I,CCR8 mab,1,,,,,,
,ABBV-142,,,,,,,,,,
,ABBV-141,,,,,,,,,,
,ABBV-950,,I,Botulinim,,,,,,,
,ABBV-525,,I,MALT1 inhibitor,1,,,,,,
,ABBV-722,,I,,,,,,,,
,CPTX-2309,,,CD19 CART,,,,,,,
,ABBV-453,R/R MM,I,Bcl-2,1,,,,,,
,ABBV-903,,I,,,,,,,,
,ABBV-291,NHL,I,,,,,,,,
,ABBV-319,Oncology,I,CD19/ADC,1,,,,,,
,SIM0500,Multiple Myeloma,I,BCMA/GPRC5D/CD3,Simcere,,,,,,
,TTX-030,Pancreatic Cancer,I,,,,,,,,
,ABBV-303,Oncology,I,c-Met,Dragonfly,,,,,,
,ABT-700,Cancer,,,,,,,,,
,ABT-767,,,,,,,,,,
,,,,,,,,,,,
,,,,1/13/25: Licenses Simcere's trispecific for multiple myeloma,,,,,,,
,,,,1/13/25: ABBV-RGX-314 phase 3 trial for DR planned,,,,,,,
,,,,1/9/25: conference presentation,,,,,,,
,,,,1/7/25: CoolSculpting promotion,,,,,,,
,,,,1/3/25: Q424 results date.,,,,,,,
,,,,"12/13/24: Nimble Therapeutics acquisition, oral peptide IL23R inhibitor. $200m upfront.",,,,,,,
,,,,"12/11/24: closes Aliada Therapeutics acquisition, ALIA-1758 for Alzheimer's.",,,,,,,
,,,,12/9/24: Epkinly DLBCL data,,,,,,,
,,,,12/9/24: TEMPO-2 results for Alzheimer's,,,,,,,
,,,,12/8/24: CLL patient advocacy,,,,,,,
,,,,12/7/24: Epkinly FL data,,,,,,,
,,,,11/25/24: investor conference,,,,,,,
,,,,11/18/24: community outreach,,,,,,,
,,,,11/18/24: Elahere approved for prOC by EC,,,,,,,
,,,,11/14/24: community awards,,,,,,,
,,,,11/11/24: emraclidine Phase II results,,,,,,,
,,,,11/7/24: Botox day,,,,,,,
,,,,"10/31/24: license to EvolveImmune's preclinical oncology platform, $65m upfront.",,,,,,,
,,,,10/30/24: Q324 results.,,,,,,,
,,,,10/29/24: community support event,,,,,,,
,,,,10/28/24: to acquire Aliada,,,,,,,
,,,,10/24/24: Gedeon partnership for new neuropsych medicines.,,,,,,,
,,,,10/18/24: Botox approved for platysma bands.,,,,,,,
,,,,10/17/24: Vyalev FDA approved.,,,,,,,
,,,,10/16/24: ASDS data preview.,,,,,,,
,,,,10/4/24: STEM support,,,,,,,
,,,,10/2/24: Juvederm Voluma XC approved for temple hollowing.,,,,,,,
,,,,10/1/24: Q3 call date.,,,,,,,
,,,,9/27/24: Files teliso-V for NSCLC,,,,,,,
,,,,9/26/24: tavapadon TEMPO-3 results,,,,,,,
,,,,9/25/24: Rinvoq AD data.,,,,,,,
,,,,9/24/24: grants for women,,,,,,,
,,,,2/12/24: ImmunoGen closes.,,,,,,,
,,,,"12/6/23: To acquire Cerevel, $8.7B.",,,,,,,
,,,,"11/30/23: To acquire ImmunoGen, $10.1B.",,,,,,,
,,,,10/28/22: Q322 results,,,,,,,
,,,,,,,,,,,
,,,,Discontinued,,,,,,,
,,,,"ABBV-154, ADC/ASC",,,,,,,
,,,,"ABT-333, dasabuvir",,,,,,,
