Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,TAK-242 (resatorvid),Sepsis,1,TLR4,,,
,SNT-MC17 (idebenone),Friedreich's Ataxia,Santhera,,III,,
,AMG706 (motesanib),Cancer,AMGN,Kinase,III,,
,TAK-379 failure,,,,,,
,TAK-013,Endometriosis,,LHRH antagonist,,,
,"Omontys (fka Hematide, peginesatide)",Anemia,Affymxa,EPO,,,
,Zafatek (fka SYR-472) (trelagliptin),Type 2 Diabetes,100% (Furiex acquisition),DPP4,Approved in Japan,,
,Mepact (mifamurtide),Osteosarcoma,1,,EU 09,,
,Basen (voglibose),Type 2 Diabetes,1,,,,
,Edarbi (TAK-491 (azilsartan)) TAK-536?,Hypertension,1,ARB,NDA US,NCE,
,ferumoxytol,Anemia,AMAG; deal terminated,,Japan rights only,,
,Lotriga (TAK-085),Hypertriglyceridemia,Pronova,EPA/DHA,,,
,Galantamine,Alzheimer's,JNJ,,,,
,,,,,,,
,TAK-583,Neuropathic Pain,,,discontinued in 2008,,
,ATL-692 (cetilistat),Obesity,Norgine,lipase inhibitor,III JP,,
,MCC-135 (caldaret),CHF,,Ca++ uptake enhancer,,,
,TAK-370 (mosapride),GERD,,5-HT4 agonist,approved in some Asian countries?,,
,IY-81149,,,PPI,,,
,TAK-428,Diabetic neuropathy,1,oral NGF agonist,II US/EU,,
,TAK-442 (letaxaban),Thromboembolism,1,Factor Xa,II US/EU,,
,TAK-654 (sipoglitazar),Type 2 Diabetes,,PPAR,,,
,TAK-700 (orteronel),HRPC,1,Androgen inhibitor,II,,
,MLN0518 (tandutinib),Glioblastoma,1,FLT3,II,,
,Lu AA24530 (tedatioxetine),Depression,LUN DC,,II,,
,MLN8237 (alisertib),NHL,1,Aurora,II,,
,CBP501,NSCLC,CanBas,calmodulin,II,,
,AMG665 (conatumumab),Cancer,AMGN,DR5,I,,
,AMG386 (trebananib),Cancer,AMGN,Angiopoietin,I,,
,AMG479 (ganitumab),Cancer,AMGN,IGF-1R,I,,
,TAK-100,Type 2 Diabetes,1,DPP4,I,,
,TAK-591,Hypertension,1,ARB,I,,
,TAK-329,Glucokinase,1,,I,,
,TAK-875,Type 2 Diabetes,1,GPR40,II,,
,TAK-851,HPV,1,,II US/EU,,Topical
,TAK-683 (metastin),HRPC,1,KISS1R agonist,I,,
,TAK-448 (metastin),HRPC,1,KISS1R,I,,
,TAK-285,Cancer,1,HER2,I,,
,TAK-802,Hypoactive bladder,,acetylcholinesterase,,,
