Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,FY07,FY08,FY09,FY10,FY11,FY12,FY13,FY14,FY15,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23
,Analog,,,,,,,,,,,,,,,,,,,,,8104,8339,8536,9900,10801,,,,,
,Embedded,,,,,,,,,,,,,,,,,,,,,2740,2787,3023,3498,3554,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,2201,1874,1811,1563,1429,,,,,
,Revenue,,,,,4289,4580,4643,,4905,5212,5241,,,13835,12501,10427,13966,13735,12825,12205,13045,13000,13370,14961,15784,14383,14461,18344,,
,COGS,,,,,1492,1503,1491,,1463,1587,1624,,,,,,,,,,,,,,,5219,5192,5968,,
,Gross Profits,,,,,2797,3077,3152,,3442,3625,3617,,,,,,,,,,,,,,,9164,9269,12376,,
,R&D,,,,,386,391,388,,391,414,431,,,,1940,1476,1570,,,,,,,,,1544,1530,1554,,
,SG&A,,,,,425,425,412,,422,422,431,,,,1614,1320,1519,,,,,,,,,1645,1623,1666,,
,Operating Expenses,,,,,811,816,800,,813,836,862,,,,3554,2796,3089,0,0,0,0,0,0,0,0,3189,3153,3220,,
,Operating Income,,,,,1986,2261,2352,,2629,2789,2755,,,,-3554,-2796,-3089,0,0,0,0,0,0,0,0,5975,6116,9156,,
,Other,,,,,0,29,-30,,-37,-42,-20,,,,,,,,,,,,,,,5,123,-41,,
,Pretax Income,,,,,1986,2290,2322,,2592,2747,2735,,,,,,-3089,0,0,0,0,0,0,0,0,5980,6239,9115,,
,Taxes,,,,,186,311,328,,325,390,363,,,,,,,,,,,,,,,711,422,1150,,
,Net Income,,,,,1800,1979,1994,,2267,2357,2372,,,,,,-3089,0,0,0,0,0,0,0,0,5269,5817,7965,,
,EPS,,,,,1.9251336898395721,2.112059765208111,2.1303418803418803,,2.4271948608137044,2.5344086021505374,2.56988082340195,,,,,,,,,,,,,,,5.534663865546219,6.234726688102894,8.509615384615385,,
,Shares,,,,,935,937,936,,934,930,923,,,,,,,,,,,,,,,952,933,936,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.14362322219631607,0.13799126637554582,0.12879603704501408,,,,-0.0964221178171305,-0.16590672746180302,0.3394073079505131,-0.016540168981812986,-0.06625409537677462,-0.04834307992202724,0.06882425235559197,-0.003449597546952843,0.028461538461538538,0.1189977561705311,0.05500969186551696,-0.08876077040040542,0.005423068900785699,0.2685153170596777,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0.6521333644206109,0.6718340611353711,0.6788714193409433,,0.7017329255861366,0.695510360706063,0.6901354703300897,,,,,,,,,,,,,,,0.6371410693179448,0.6409653550930088,0.6746620148277366,,
,Operating Margin,,,,,0.4630449988342271,0.49366812227074236,0.5065690286452724,,0.5359836901121304,0.5351112816577129,0.5256630414043122,,,,,,,,,,,,,,,0.4154209831050546,0.4229306410345066,0.49912778020061055,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,1850,2121,2428,,2144,1768,2766,,,,,,,3256,3414,3384,4054,4397,4614,5363,7189,6649,6139,8756,,
,CapEx,,,,,308,386,486,,443,597,790,,,,,,,816,495,412,385,551,531,695,1131,847,,,,
,FCF,,,,,1542,1735,1942,,1701,1171,1976,,,,,,,2440,2919,2972,3669,3846,4083,4668,6058,5802,,,,
