Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0
,Lease,,,,,,,,,3185.2110000000002,3510.98,4773.343,4773.343,,,,,,,,,,,,,,
,OCL,,,,,,,,,0,0.053,171.401,171.401,,,,,,,,,,,,,,
,Derivatives,,,,,,,,,0.491,0.698,1.71,1.71,,,,,,,,,,,,,,
,DT,,,,,,,,,193.849,245.659,117.633,117.633,,,,,,,,,,,,,,
,ONCL,,,,,,,,,32.772,126.331,268.409,268.409,,,,,,,,,,,,,,
,SE,,,,,,,,,3069.282,3820.806,3878.014,4316.014,,,,,,,,,,,,,,
,L+SE,,,,,,,,,21860.382999999998,26241.362999999998,32910.49800000001,33348.49800000001,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,-291.30500000000006,-247.75699999999992,-258.70500000000015,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,-314.641,-290.50899999999996,-110.12400000000002,,,,,,,,,,,,,,,
,D&A,,,,,,,,,443.497,559.481,630.479,,,,,,,,,,,,,,,
,Non-cash Lease Expense,,,,,,,,,66.869,77.244,89.72300000000001,,,,,,,,,,,,,,,
,Amortization of DD,,,,,,,,,37.691,29.036,21.048999999999992,,,,,,,,,,,,,,,
,FV adjustments,,,,,,,,,-26.837,0,0,,,,,,,,,,,,,,,
,SBC,,,,,,,,,183.973,145.005,144.43099999999998,,,,,,,,,,,,,,,
,DT,,,,,,,,,44.617,46.267,-128.025,,,,,,,,,,,,,,,
,ONC,,,,,,,,,22.723,17.409,23.741999999999997,,,,,,,,,,,,,,,
,AR,,,,,,,,,-638.75,-865.9459999999999,252.18899999999985,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,-9.929,-110.51899999999999,-50.586,,,,,,,,,,,,,,,
