Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2023.0,2024.0,2025.0
,G-Lasta,7,8,8.2,8.7,5.8,4.7,,,,,31.9,,
,Darbepoetin Alfa,3.5,3.4000000000000004,3.4000000000000004,3.6999999999999993,2.8,2.8,,,,,14.0,,
,Crysvita JP,2.3,2.5,2.6000000000000005,3.0999999999999996,2.5,2.9000000000000004,,,,,10.5,,
,Crysvita ROW,27.1,34.8,33.800000000000004,46.29999999999999,35.4,50.1,,,,,,,
,Benralizumab,5.7,5.8999999999999995,7.500000000000003,8.299999999999997,6.4,8,,,,,,,
,Revenue,,,,,,,,,,,442.2,233.0,
