Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101
,COGS,,,,,6685,,,,6058,,,,,,4620.0,20442.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,24526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,4015,,,,3900,,,,,,7571.0,13375.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,16795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,2388,,,,2232,,,,,,4016.0,9678.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,9696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,1627,,,,1668,,,,,,3555.0,3697.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,7099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,-571,,,,-504,,,,,,-633.0,-1777.0,-2221.0,-2221.0,-1825.9,-1614.976,-1395.6150400000001,-1167.4796416000001,-930.2188272640001,-683.46758035456,-426.84628356874236,-31.992026982298412,24.544036801843195,81.53238909625794,138.976648209028,196.88046139470026,255.24750508585785,314.08148512654475,373.3861370075571,433.1652261036176,493.42254791244653,554.1619282957462,615.3872237221121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,1056,,,,1164,,,,,,2922.0,1920.0,4878.0,4878.0,5273.1,5484.023999999999,5703.384959999999,5931.5203584,6168.781172736,6415.53241964544,6672.153716431258,7067.007973017701,7123.5440368018435,7180.532389096258,7237.976648209028,7295.8804613947,7354.2475050858575,7413.081485126545,7472.386137007557,7532.165226103618,7592.422547912446,7653.161928295746,7714.387223722112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,178,,,,136,,,,,,0.0,0.0,236.0,975.6,1054.6200000000001,1096.8048,1140.676992,1186.30407168,1233.7562345472002,1283.1064839290882,1334.4307432862515,1413.4015946035404,1424.7088073603688,1436.1064778192517,1447.5953296418056,1459.1760922789401,1470.8495010171716,1482.616297025309,1494.4772274015115,1506.4330452207237,1518.4845095824894,1530.6323856591493,1542.8774447444225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,878,,,,1028,1028,1028,1028,,,2922.0,1920.0,4642.0,3902.4,4218.4800000000005,4387.2192,4562.707968,4745.21628672,4935.024938188801,5132.425935716352,5337.722973145006,5653.606378414161,5698.835229441474,5744.425911277007,5790.3813185672225,5836.7043691157605,5883.398004068686,5930.465188101236,5977.908909606046,6025.732180882895,6073.938038329957,6122.529542636597,6171.50977897769,6171.51977897769,6171.5297789776905,6171.539778977691,6171.549778977691,6171.559778977691,6171.569778977691,6171.579778977692,6171.589778977692,6171.599778977692,6171.609778977692,6171.6197789776925,6171.629778977693,6171.639778977693,6171.649778977693,6171.659778977693,6171.669778977694,6171.679778977694,6171.689778977694,6171.699778977694,6171.709778977694,6171.719778977695,6171.729778977695,6171.739778977695,6171.749778977695,6171.7597789776955,6171.769778977696,6171.779778977696,6171.789778977696,6171.799778977696,6171.809778977697,6171.819778977697,6171.829778977697,6171.839778977697,6171.8497789776975,6171.859778977698,6171.869778977698,6171.879778977698,6171.889778977698,6171.899778977699,6171.909778977699,6171.919778977699,6171.929778977699,6171.9397789776995,6171.9497789777,6171.9597789777,6171.9697789777,6171.9797789777,6171.989778977701,6171.999778977701,6172.009778977701,6172.019778977701,6172.029778977701,6172.039778977702,6172.049778977702,6172.059778977702,6172.069778977702,6172.0797789777025,6172.089778977703,6172.099778977703,6172.109778977703,6172.119778977703,6172.129778977704,6172.139778977704
,EPS,,,,,0.36101973684210525,,,,0.4207941056078592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,2432,,,,2443,,,,,,664.0,1940.0,2436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
