Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Stock,P&L,Value,Absolute,Buys,Sells,Buy Avg,Sell Avg,Buy Amt,Sell Amt,Profit,Fee,P&L-ExFee,Fee %,Fee/Shr,Profit,
,AAPL,297,-26625,26625,1340,1165,213.16951,213.25,285647.1434,248436.25,1,74.69,,0.0001398470743014868,0.02981636726546906,0,
,ABBV,-37,72495,72495,439,100,214.14968,214.91,94011.70951999999,21491,0,11.63,,0.00010069027859460038,0.021576994434137294,0,
,ABT,198,126,126,700,699,126.94486,127.25379,88861.402,88950.39921,1,17.64,,9.920601377389309e-05,0.012609006433166548,0,
,ADBE,971,-1567,1567,275,200,387.37764,387.72075,106528.851,77544.15000000001,1,25.21,,0.00013695653280515593,0.053073684210526315,0,
,AMZN,485,0,0,480,425,191.49323,192.14435,91916.7504,81661.34875,1,25.37,,0.00014615899197096375,0.02803314917127072,0,
,AVGO,-33,0,0,975,1025,189.0341,189.3322,184308.2475,194065.505,0,65.64,,0.00017347926373407734,0.03282,0,
,BABA,1070,0,0,700,400,143.8075,143.71188,100665.25,57484.752,1,20.7,,0.00013088839543612523,0.018818181818181817,0,
,COST,-583,17995,17995,335,360,901.4403,902.02556,301982.50049999997,324729.20160000003,0,67.11,,0.0001070827300258257,0.0965611510791367,0,
,CRM,-39,5579,5579,740,720,278.2273,278.23028,205888.20200000002,200325.8016,0,54.74,,0.00013475655569447729,0.03749315068493151,0,
,GOOGL,-81,-14466,14466,1050,1020,159.40779,158.92294,167378.1795,162101.39880000002,0,47.75,,0.0001449255223840378,0.023067632850241545,0,
,JNJ,-64,-22995,22995,90,230,163.75,163.81,14737.5,37676.3,0,8.1,,0.00015453945335007193,0.025312499999999998,0,
,JPM,125,-23500,23500,380,535,234.69079,234.94963,89182.5002,125698.05205000001,1,24.62,,0.00011457528260331433,0.026907103825136613,0,
,KO,26,0,0,150,150,69.74,69.93,10461,10489.500000000002,1,2.33,,0.00011121452948616979,0.0077666666666666665,0,
,LLY,599,-32027,32027,210,324,818.34629,822.22843,171852.7209,266402.01132,1,66.48,,0.00015169260047288578,0.12449438202247191,0,
,MA,-398,-53019,53019,360,460,528.25889,527.91783,190173.20039999997,242842.20179999998,0,47.86,,0.00011052724627539821,0.05836585365853658,0,
,META,126,46584,46584,323,240,579.92488,579.52583,187315.73624,139086.1992,1,32.93,,0.00010088788216163402,0.05849023090586145,0,
,MSFT,198,0,0,60,30,382.965,383.95,22977.899999999998,11518.5,1,3.33,,9.653181201516682e-05,0.037,0,
,NVDA,-158,2304,2304,1780,1860,116.0891,116.23301,206638.598,216193.3986,0,64.45,,0.00015242460485072952,0.017706043956043957,0,
,NVO,1671,-2434,2434,3210,3690,80.67206,81.08715,258957.3126,299211.58349999995,1,81.42,,0.00014586982644302168,0.0118,0,
,ORCL,228,-149,149,2030,1940,150.08002,150.05394,304662.4406,291104.6436,1,79.55,,0.00013352533583962646,0.02003778337531486,0,
,PFE,49,-921,921,4700,5235,26.22787,26.23133,123270.989,137321.01254999998,1,54.71,,0.00020994504694919714,0.005506794162053347,0,
,PG,140,0,0,240,120,168.89294,169.235,40534.3056,20308.2,1,5.6,,9.204091686848609e-05,0.015555555555555555,0,
,SNY,62,296,296,1685,1680,58.97024,59.02534,99364.8544,99162.5712,1,30.9,,0.00015564600158699684,0.009182763744427934,0,
,TSLA,543,11305,11305,1575,1525,225.90873,226.31492,355806.24974999996,345130.253,1,100.96,,0.00014403587144327817,0.03256774193548387,0,
,TSM,-1314,-51765,51765,200,700,171.3875,171.28214,34277.5,119897.49799999999,0,21.48,,0.0001393222006073903,0.023866666666666668,0,
,UNH,-140,0,0,180,150,503.10056,503.10067,90558.1008,75465.1005,0,17.13,,0.00010317835016954342,0.051909090909090905,0,
,V,10,-7030,7030,365,386,333.54603,333.7406,121744.30094999999,128823.87159999998,1,39.67,,0.00015832018726194764,0.05282290279627164,0,
,WMT,-90,48826,48826,1210,640,86.05,86.28531,104120.5,55222.598399999995,0,18.71,,0.0001174195819453201,0.010113513513513514,0,
,Total,3861,-30988,442008,25782,26009,,,4053823.9452600004,4078343.3022800013,1,1110.7100000000003,4971.71,0.000136582286884962,0.02144600413199205,1,
,,,,,,,,,8132167.247540002,,,,,0.6071428571428571,,,0.0
