Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,Price,17.0,
,,,,,,,,,,,,,Shares,2886.02776,2001-03-16
,,,,,,,,,,,,,MC,49062.471919999996,
,,,,,,,,,,,,,Cash,,
,,,,,,,,,,,,,Debt,,
,,,,,,,,,,,,,EV,,
,,,,,,,,,,,,,,,
,Intermedia/Digex,,,,,,,,,,,,,,
,10/1/1999: acquired SkyTel (stock deal),,,,,,,,,,,,Inception,1983.0,
,9/14/1998: MCI (40B),,,,,,,,,,,,,,
,8/4/1998: Embratel (2B),,,,,,,,,,,,,,
,1/31/1998: CompuServe (1.3B),,,,,,,,,,,Low,High,,
,1/31/1998: ANS Communications ($500m),,,,,,,,,,1999-03-31,46,62.83,,
,12/31/1996: MFS Communications ($12.5B),,,,,,,,,,1999-06-30,53.54,64.5,,
,,,,,,,,,,,1999-09-30,47.92,60.92,,
,,,,,,,,,,,1999-12-31,44.04,61.33,,
,,,,,,,,,,,2000-03-31,40.63,55,,
,,,,,,,,,,,2000-06-30,35.88,47,,
,,,,,,,,,,,2000-09-30,25.25,49.97,,
,,,,,,,,,,,2000-12-31,13.5,30.44,,
