Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2023.0,2024.0
,J&J,,,,,21382,22453,,,,,,
,Merck,,,,,15775,16112,,,,,,
,AbbVie,,,,,12310,14462,,,,,,
,Lilly,,,,,8768,11303,,,,,,
,Novo,,,,,9260.167209862548,9644.324783902508,,,,,,
,Revenue,0,0,0,0,67495.16720986254,73974.32478390251,,,,,,
,Lilly COGS,,,,,1534.4,2031.1,,,,,,
,J&J COGS,,,,,5404,6869,,,,,,
,AbbVie COGS,,,,,2108,2135,,,,,,
,Merck COGS,,,,,2961,3073,,,,,,
,Novo COGS,,,,,1405.1296584951112,1455.8594303528412,,,,,,
,COGS,,,,,13412.52965849511,15563.959430352841,,,,,,
,Gross Margin,,,,,54082.63755136743,58410.36535354967,,,,,,
,R&D,,,,,,,,,,,,53959.55172413793
,Lilly R&D,,,,,,,,,,,,9998.0
,AbbVie R&D,,,,,,,,,,,,7795.0
,Novo R&D,,,,,,,,,,,,6312.551724137931
,Pfizer R&D,,,,,,,,,,,11988.0,11988.0
,Merck R&D,,,,,,,,,,,,17866.0
,Novartis R&D,,,,,,,,,,,,9214.0
,J&J R&D,,,,,,,,,,,,
,Sanofi R&D,,,,,,,,,,,,
,GSK R&D,,,,,,,,,,,,
,Amgen R&D,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Industry GM%,,,,,0.8012816292936712,0.7896032241481209,,,,,,
