Main,Unnamed: 1,Unnamed: 2
,Brand,INV-202
,Generic,monlunabant
,Economics,originally Inversago
,Clinical Trials,
,,Phase II - NCT05891834
,,"10mg, 20mg, 50mg"
,,7.1kg vs 0.1kg weight loss on placebo
