Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Xtandi,,,,,,,,,162400,169600,179800,,174100,,,,224200,,,
,Padcev,,,,,,,,,10600,10200,12300,,15200,,,,38400,,,
,Izervay,,,,,,,,,,,,,0,,,,12700,,,
,Veozah,,,,,,,,,,,,,600,,,,6600,,,
,Vyloy,,,,,,,,,,,,,0,,,,300,,,
,Xospata,,,,,,,,,10500,13000,12800,,13000,,,,17300,,,
,Evrenzo,,,,,,,,,700,800,900,,,,,,,,,
,Prograf,,,,,,,,,47900,52500,51300,,49100,,,,53900,,,
,Betanis,,,,,,,,,51800,41600,47700,,49200,,,,46100,,,
,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,326143,325523,340627,,381791,380394,402180,,374990,,,,473124,,,
,COGS,,,,,62231,62505,69358,,88870,62781,74422,,68947,,,,91136,,,
,Gross Profit,,,,,263912,263018,271269,,292921,317613,327758,,306043,,,,381988,,,
,SG&A,,,,,137109,133397,135914,,153396,154560,163021,,168182,,,,206877,,,
,R&D,,,,,58313,60747,58588,,74007,65170,66875,,64592,,,,86821,,,
,OpEx,,,,,195422,194144,194502,,227403,219730,229896,,232774,,,,293698,,,
,OpInc,,,,,68490,68874,76767,,65518,97883,97862,,73269,,,,88290,,,
,Other,,,,,-26698,-9203,,,-23264,139,,,-162,,,,1056,,,
,Pretax,,,,,41792,59671,76767,,42254,98022,97862,,73107,,,,89346,,,
,Taxes,,,,,5144,12332,17432,,6867,17179,11353,,12892,,,,13721,,,
,Net Income,,,,,36648,47339,59335,,35387,80843,86509,,60215,,,,75625,,,
,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.17062454199538246,0.1685625900474006,0.18070499402572304,,,,,,0.2616976452705406,,,
,Gross Margin,,,,,0.8091910603630923,0.8079859180457295,0.7963813790451139,,0.7672286669931978,0.8349579646366662,0.8149535034064349,,0.8161364303048081,,,,0.8073739653875094,,,
,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,495288,413296,,,,,,471543,,,
,OCA,,,,,,,,,,33981,31864,,,,,,45972,,,
,Tax,,,,,,,,,,107483,93225,,,,,,66515,,,
,AR,,,,,,,,,,479173,451275,,,,,,609708,,,
,Inventory,,,,,,,,,,168636,163221,,,,,,256045,,,
,ONCA,,,,,,,,,,11823,10910,,,,,,29214,,,
,Goodwill,,,,,,,,,,1006724,940606,,,,,,1946831,,,
,PP&E,,,,,,,,,,280552,269106,,,,,,309686,,,
,Assets,,,,,,,,,,2583660,2373503,,,,,,3735514,,,
,,,,,,,,,,,,,,,,,,,,,
,S/E,,,,,,,,,,1649518,1570424,,,,,,1676442,,,
,OCL,,,,,,,,,,369011,360196,,,,,,503002,,,
,Debt,,,,,,,,,,288002,329151,,,,,,1202652,,,
,Provisions,,,,,,,,,,17665,,,,,,,24126,,,
,Taxes,,,,,,,,,,32350,,,,,,,74977,,,
,AP,,,,,,,,,,146533,,,,,,,181612,,,
,ONCL,,,,,,,,,,43664,37337,,,,,,47327,,,
,Pension,,,,,,,,,,36918,37092,,,,,,25377,,,
,L+SE,,,,,,,,,,2583661,2334200,,,,,,3735515,,,
