Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,,,,,,,,,,,,EV/EPS,,,,,,EPS,,,,,,,
,Name,Ticker,Price,MC,NC,EV,Update,SO,Last,NPV,Upside,ROIC,Terminal,Discount,2022,2023.0,2024.0,2025.0,2026.0,2027.0,2022,2023.0,2024.0,2025.0,2026.0,2027.0,Founded,Location
x,Berkshire Hathaway,BRK/A,698340,343708981.2,354469.39819999994,343354511.8018,Q421,492.18,2023-02-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,Berkshire Hathaway,BRK/B,468,345510360,354469.39819999994,345155890.6018,Q421,492.18,2023-02-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,Tesla,TSLA,259,911939,29467,882472,Q224,3521,2024-09-25 00:00:00,,,,,,,,,,,,,,,,,,,
x,Toyota,7203 JP,2643.5,245556.7058654276,-59017.903448275865,304574.60931370343,Q224,13469.159202,2024-09-25 00:00:00,,,,,,,,,,,,,,,,,,,
x,Toyota,TM,184.11,247980.69006802203,-59017.903448275865,306998.5935162979,Q224,13469.159202,2024-09-25 00:00:00,,,,,,,,,,,,,,,,,,,
x,Linde,LIN,462.6,223015.7592,-14643,237658.7592,Q424,482.092,2025-03-26 00:00:00,,,,,,,,,,,,,,,,,,,
x,Boeing,BA,174.9,106712.6473545,-35307,142019.64735450002,Q423,610.135205,2024-08-23 00:00:00,,,,,,,,,,,,,,,,,,,
x,Byd Co,1211 HK,251.8,104650.44889842859,6346.124285714284,98304.3246127143,Q224,2909.265855,2024-09-25 00:00:00,,,,,,,,,,,,,,,,,,,
x,Cintas,CTAS,209.67,84559.62438111,-2215,86774.62438111,Q224,403.298633,2024-10-14 00:00:00,,,,,,,,,,,,,,,,,,,
x,Stellantis,STLA,13.04,39438.827999999994,25430.9,14007.927999999993,Q224,3024.45,2024-10-13 00:00:00,,,,,,,,,,,,,,,,,,,
x,Reliance,RIL IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Contemporary Amperex,300750 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,International Holding,IHC UH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,RTX Corp,RTX,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Union Pac,UNP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Honeywell,HON,,,,,,,,,,,,,,,,,,,,,,,,,,
x,BHP Group,BHP AU,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Lockheed Martin,LMT,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Caterpiller,CAT,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Fortive,FTV,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Rio Tinto,RIO AU,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Deere,DE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Keyence,6861 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Porsche,P911 GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Airbus,AIR FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Volkswagen,VOW GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Siemens,SIE GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Siemens Energy,ENR GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Canadian National Railway,CNR CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,SABIC,SABIC AB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,3M,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Northrop Grumman,NOC,,,,,,,,,,,,,,,,,,,,,,,,,,
x,General Electric,GE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Schneider Electric,SU FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Air Liquide,AI FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Canadian Pacific,CP CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Sherman-Williams,SHW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Vale,VALE3 BZ,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Glencore,GLEN LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Waste Management,WM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,CSX,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,
x,General Dynamics,GD,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Mercedes-Benz,MBG GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Illinois Tool Works,ITW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Norfolk Southern,NSC,,,,,,,,,,,,,,,,,,,,,,,,,,
x,ABB,ABBN SW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Vinci,DG FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Eaton,ETN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Air Products,APD,,,,,,,,,,,,,,,,,,,,,,,,,,
x,General Motors,GM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,BMW,BMW GR,,,,,,,,,,,,,,,,,,,,,,,,,,
